call_number,category,date_acquired,title,id,author,correction_date,correction_source
N7343.24 .S59 2017,"China, South Asia, & East Asia",,Six Dynasties art from the Norman A,,,,
NK4165.2 .L58 2016,"China, South Asia, & East Asia",,彩陶与青铜的对话,,,,
GN776.2.G86 S82 1983,The Caucasus & The Western Steppe,,Памятники кул'туры Гумел'ница Юго-Запада Украины,,,,
DS793.S5 L823 2014,"China, South Asia, & East Asia",,陕北史城研究=On the history of fortifications in northern Shaanxi,,,,
RS79.D563 R53 1985,European and Classical Antiquity,,Dioscorides on pharmacy and medicine,,,,
GN824.Y8 T44 1971,The Caucasus & The Western Steppe,,Очерки древней истории и археологии Юго-Осетии,,,,
DS156.A48 S36 1931,Ancient Western Asia,,The alphabet: its rise and development from the Sinai inscriptions,,,,
DS793.S62 X54 2016,"China, South Asia, & East Asia",,"新疆文物保护研究论文集, v",,,,
P945 .F75 1960,Ancient Western Asia,,"Hethitisches Elementarbuch, T",,,,
DK509 .L47 2008 Non-circulating,The Caucasus & The Western Steppe,2009-02-19T00:00:00.000000,The Maikop treasure /,,,,
B187.5 .P49 2017,European and Classical Antiquity,,Physiologia: topics in Presocratic philosophy and its reception in antiquity,,,,
PJ4045. V53 2016,Ancient Western Asia,,The reception of Sumerian literature in the Western periphery,,,,
BQ6345.T353 W36 2016,"China, South Asia, & East Asia",,北齐徐显秀墓壁画保护修复研究,,,,
DS324.K47 G76 1995 Non-circulating,Central Asia & Siberia,2011-07-15T00:00:00.000000,"Archäologische Forschungen in Khorasan, Iran /",,,,
DS110.A76 S73 1991,Ancient Western Asia,,Ashkelon discovered: from Canaanites and Philistines to Romans and Moslems,,,,
GN778.22.M629 D47 1975,The Caucasus & The Western Steppe,,Бронзовые предметы ХIII-VIII [и,,,,
DF573.5 .S513 1986,European and Classical Antiquity,,The History of Theophylact Simocatta: an English translation with introduction and notes,,,,
DK651.M67 N334 1996. From the Library of Aleksandr Leskov,The Caucasus & The Western Steppe,,Kurgane der Mozdok-Steppe in Nordkaukasien,,,,
HQ1134 .S77 1988,European and Classical Antiquity,,Kvinnor i antikens Grekland,,,,
P945.A2 G7635 2008,Ancient Western Asia,,Hethitische Texte in Transkription KBo 50,,,,
NA1492.7 .S25 1985,The Caucasus & The Western Steppe,,Azărbai̐jan me'marlyghynyn nakhchyvan măktăbi abidălări,,,,
PK6958.5 .D8 1976,The Caucasus & The Western Steppe,,Осетинский эпос и мифология,,,,
SB202.G7 W38 2007,European and Classical Antiquity,,"Water meadows: history, ecology and conservation",,,,
DC801.C74 F38 1981,European and Classical Antiquity,,Conques,,,,
DA670.C2 M33 2001,European and Classical Antiquity,,"Monument 97, Orton Longueville, Cambridgeshire: a Late Pre-Roman Iron Age and Early Roman farmstead",,,,
DS328 .G73 1980,Central Asia & Siberia,,Древние кoчевники в центрe Aзии,,,,
PA3343 .M39 2007,Egypt & North Africa,,Annotations in Greek and Latin texts from Egypt,,,,
CJ407 .B44 1963,European and Classical Antiquity,,Essays on the coinage of Alexander the Great,,,,
DF220 .B713 1973,European and Classical Antiquity,,"Prehistoric Greece and Cyprus: an archaeological handbook,",,,,
BR63 .P374 1974,The Caucasus & The Western Steppe,,Paterica armeniaca a P,,,,
DS66 .Q37 1991,Ancient Western Asia,,Quattro studi ittiti,,,,
DS798.9.T67 B87 2016,"China, South Asia, & East Asia",,Древние тюрки Монголии: реконструкция антропологического состава по данным скульптурных изображений,,,,
CT1827.5.L58 L54 2016,"China, South Asia, & East Asia",,隋唐河东柳氏家族研究:以世系、迁移、婚宦、家族文化为中心,,,,
DK34.S3 M25 1983,The Caucasus & The Western Steppe,,Савроматы и сарматы на Нижнем Дону,,,,
PA3339 .I5 2013 v.1-3,Egypt & North Africa,,Proceedings of the 27th International Congress of Papyrology,,,,
QC84 .N86 2024,Cross-Cultural Studies & Other,2025-12-18,"Numbers, measures, and the transfer of goods in prehistory /",,,,
BT21 .H27 1957,European and Classical Antiquity,,Outlines of the history of dogma,,,,
