id,Material Type,Process Type,call_number,Library Name,Location Name,mms_id,title,ISBN,ISSN,Author,Publisher,Publication Place,Publication Date,Subjects,651$$0,651$$1,Num of Loans Including Pre-Migration (In House),Description,Internal Note 1,Internal Note 2,Internal Note 3,date_acquired,Item Modification Date
31154059147411,Book,,DF501.5 .I57 1981,NYU Inst Study Ancient World,Small Collection,990087588910107876,"Akten: XVI. Internationaler Byzantinistenkongress, Wien, 4.-9. Oktober 1981.",9783700104551; 3700104553; 9783700105220; 3700105223; 9783700105237; 3700105231; 9783700105244; 370010524X; 9783700105251; 3700105258; 9783700104575; 370010457X; 9783700105268; 3700105266; 9783700104568; 3700104561,,"International Congress of Byzantine Studies Vienna, Austria) 1981 : (16th :",Verlag der Österreichischen Akademie der Wissenschaft,Wien :,1981-1982.,"Byzantine Empire--Congresses.; Byzantine Empire--Study and teaching--Congresses.; Art, Byzantine--Congresses.; Music, Byzantine--Congresses.; Byzantine literature--Congresses.; Education; Byzantine literature; Art, Byzantine; Music, Byzantine; Byzantine Empire; Conference papers and proceedings; Byzance--Actes de congrès.; Byzantine Empire.; Empire byzantin--Étude et enseignement--Congrès.; Art byzantin--Congrès.; Musique byzantine--Congrès.; Littérature byzantine--Congrès.",http://vocab.getty.edu/tgn/7024407;,,0,Bd.1:suppl.,Garsoian,,,2024-04-08,2024-04-12
31154059172971,Book,,NK3855.I35 O7 1967,NYU Inst Study Ancient World,Large Collection,9998652208707876,Das Gräberfeld bei Ilica /,,,"Orthmann, Winfried.",F Steiner,Wiesbaden :,1967.,"Sepulchral monuments--Turkey--Mersin İli.; Excavations (Archaeology)--Turkey--Mersin İli.; Pottery, Hittite; Sepulchral monuments; Sepulchral monuments--Turkey.; Turkey--Antiquities.; Pottery, Hittite.; Ilıca (Ayas: cemetery); Ilıca.",https://pleiades.stoa.org/places/582288341; https://pleiades.stoa.org/places/582288341,,0,,,,,2024-04-01,2024-04-03
31154062321276,Book,,DS35.56 .A63 2018,NYU ISAW Offsite,Offsite Collection,9998653622507876,"Amakin wa-Asma - miejsca i nazwy : geografia historyczna i toponomastyka świata muzułmańskiego : odkrycia, interpretacje, podsumowania, perspektywy /",8394800432; 9788394800437,,,Instytut Kultur Śródziemnomorskich i Orientalnych Polskiej Akademii Nauk,Warsaw :,2018.,Islamic countries--Historical geography.; Toponymy.; toponymy.; Muslim world.; Pays musulmans--Géographie historique.; Toponymie.,,https://www.wikidata.org/entity/Q779924;,0,,,,,2024-04-05,2025-02-11
31154062339393,Book,,BF1589 .S415 1970z,NYU Inst Study Ancient World,Large Collection,9998654328807876,Das Weltreich der Magie : 5000 Jahre geheime Kunst /,,,"Seligmann, Kurt, 1900-1962.",R Löwit,Wiesbaden :,[approximately 1970],Magic--History.; Occultism--History.; Magic.; Occultism.; History.; Internum Mare.; Middle East.; Occultisme--Histoire.,https://pleiades.stoa.org/places/1043; http://vocab.getty.edu/tgn/7001526,,0,,Gasche,,,2024-04-08,2024-04-08
31154062341779,Book,,CB69 .H5914 2000,NYU Inst Study Ancient World,Small Collection,9998654329207876,Histoire de l'humanité.,9789232028105; 9232028107; 9782841297337; 2841297330; 9789232028112; 9232028115; 9782841297900; 284129790X,,,Éditions UNESCO,Paris :,2000-,Civilization.; Civilization--History.; World history.; civilization.; Reference works.; Ouvrages de référence.; Civilisation.; Civilisation--Histoire.; Histoire universelle.,,,0,v.1,,,,2024-04-08,2024-04-08
31154062341787,Book,,CB69 .H5914 2000,NYU Inst Study Ancient World,Small Collection,9998654329207876,Histoire de l'humanité.,9789232028105; 9232028107; 9782841297337; 2841297330; 9789232028112; 9232028115; 9782841297900; 284129790X,,,Éditions UNESCO,Paris :,2000-,Civilization.; Civilization--History.; World history.; civilization.; Reference works.; Ouvrages de référence.; Civilisation.; Civilisation--Histoire.; Histoire universelle.,,,0,v.2,,,,2024-04-08,2024-04-08
31154068974920,Book,,R135.3 .B635 2023,NYU Inst Study Ancient World,Small Collection,9998653526607876,An ancient Mesopotamian herbal /,1842467980; 9781842467985; 9781842467992; 1842467999,,"Böck, Barbara author. (Barbara Alexandra),",Royal Botanic Gardens; Kew Publishing,"Kew, Richmond, Surrey, UK :",2023.,"Herbals--Therapeutic use--Iraq.; Traditional medicine--Iraq.; Medicine, Assyro-Babylonian.; Medicine, Ancient.; Medicine, Traditional--history; Plant Extracts--therapeutic use; History, Ancient; Mesopotamia; Herbal; Case Reports; Case studies.; Mesopotamia (region); Études de cas.; Herbiers (Ouvrages)--Emploi en thérapeutique--Irak.; Médecine assyro-babylonienne.; Médecine ancienne.",https://pleiades.stoa.org/places/874602,,3,,,,,2024-04-03,2024-04-03
31154068974938,Book,,DS558.A6 H54 2007,NYU ISAW Offsite,Offsite Collection,9998653525807876,Angkor : sacred mountains of kings /,9748813657; 9789748813653,,"Higuchi, Hideo.",Numpu Publishing Co,Bangkok :,2007.,Angkor (Extinct city); Angkor (Extinct city)--Pictorial works.; Cambodia--Angkor (Extinct city); Pictorial works; Angkor.; Angkor (Ville ancienne); Angkor (Ville ancienne)--Ouvrages illustrés.,https://pleiades.stoa.org/places/531398484;,,0,,Bunker,,,2024-04-04,2025-02-11
31154068974946,Book,Missing,GN778.32.N4 A53 2024,NYU Inst Study Ancient World,Large Collection,9998654428307876,"Ancient western Asia beyond the paradigm of collapse and regeneration (1200-900 BCE) : proceedings of the NYU-PSL International Colloquium, Paris Institut national d'histoire de l'art, April 16-17, 2019 /",1479834629; 9781479834624; 9781479834631; 1479834637; 9781479834648; 1479834645,,,Institute for the Study of the Ancient World New York University Press,New York :,2024.,Bronze age--Middle East--Congresses.; Iron age--Middle East--Congresses.; Excavations (Archaeology)--Middle East--Congresses.; Middle East--History--To 622--Congresses.; Middle East--Antiquities--Congresses.; Middle East.; Moyen-Orient--Histoire--Jusqu'à 622--Congrès.; Moyen-Orient--Antiquités--Congrès.,http://vocab.getty.edu/tgn/7001526;,,1,,,,,2024-04-08,2025-12-03
31154068974953,Book,,DK511.V65 A66954 2021,NYU Inst Study Ancient World,Large Collection,990094871340107876,Arkheologii͡a Volgo-Uralʹi͡a v 7 tomakh /,5969009512; 9785969009516; 5969009520; 9785969009523; 5969009539; 9785969009530; 5969009547; 9785969009547; 5969011126; 9785969011120; 9785969011134; 9785969011146; 5969011150; 9785969011151,,,Izd-vo AN RT,Kazanʹ :,2021-,"Excavations (Archaeology)--Russia (Federation)--Volga-Ural Region.; Volga-Ural Region (Russia)--Antiquities.; Idel-Ural.; Fouilles (Archéologie)--Russie--Volga-Oural, Région.",,https://www.wikidata.org/entity/Q1521445,0,t.4,,,,2024-04-09,2024-04-09
