id,Material Type,Process Type,call_number,Library Name,Location Name,mms_id,title,ISBN,ISSN,Author,Publisher,Publication Place,Publication Date,Subjects,651$$0,651$$1,Num of Loans Including Pre-Migration (In House),Description,Internal Note 1,Internal Note 2,Internal Note 3,date_acquired,Item Modification Date
31154069000113,Book,,DP402.T36 U579 2023,NYU Inst Study Ancient World,Large Collection,9998631830207876,Los últimos días de Tarteso /,8445140388; 9788445140383,,,Museo Arqueológico y Paleontológico; Comunidad de Madrid,Madrid :,[2023],Excavations (Archaeology)--Spain--Tartessos (Kingdom)--Exhibitions.; Excavations (Archaeology)--Spain--Tartessos (Kingdom); Tartessos (Kingdom)--Antiquities--Exhibitions.; Tartessos (Kingdom)--Civilization--Exhibitions.; Tartessos (Kingdom)--Civilization.; Antiquities; Civilization; Excavations (Archaeology); Exhibitions; Tartessos (Kingdom); exhibition catalogs.; Exhibition catalogs.; Tartessos.; Catalogues d'exposition.; Fouilles (Archéologie)--Espagne--Tartessos (Royaume); Fouilles (Archéologie)--Espagne--Tartessos (Royaume)--Expositions.; Tartessos (Royaume)--Civilisation.; Tartessos (Royaume)--Civilisation--Expositions.,https://pleiades.stoa.org/places/256468;,,0,,,,,2024-01-04,2024-01-05
31154069000121,Book,,P945 .S65 Bd.72:2023,NYU Inst Study Ancient World,Small Collection,9998631830107876,"Luwili : Hittite-Luwian ritual texts attributed to Puriyanni, Kuwattalla and S̆ilalluḫi (CTH 758-763) /",3447119950; 9783447119955; 3447119969; 9783447119962,,"Yakubovich, Ilya S., author.",Harrassowitz Verlag,Wiesbaden :,2023.,"Luwian language--History.; Luwian language--Texts.; Luwian language--Syntax.; Cuneiform inscriptions.; Inscriptions, Luwian--Turkey--Boğazköy.; Cuneiform tablets--Turkey--Boğazköy.; Hattusa.; Louvite (Langue)--Histoire.; Louvite (Langue)--Textes.; Louvite (Langue)--Syntaxe.; Inscriptions cunéiformes.; Inscriptions louvites--Turquie--Boǧazköy.; Tablettes cunéiformes--Turquie--Boǧazköy.",https://pleiades.stoa.org/places/283602441,,1,v.1,,,,2024-01-04,2024-01-11
31154069000139,Book,,P945 .S65 Bd.72:2023,NYU Inst Study Ancient World,Small Collection,9998631830107876,"Luwili : Hittite-Luwian ritual texts attributed to Puriyanni, Kuwattalla and S̆ilalluḫi (CTH 758-763) /",3447119950; 9783447119955; 3447119969; 9783447119962,,"Yakubovich, Ilya S., author.",Harrassowitz Verlag,Wiesbaden :,2023.,"Luwian language--History.; Luwian language--Texts.; Luwian language--Syntax.; Cuneiform inscriptions.; Inscriptions, Luwian--Turkey--Boğazköy.; Cuneiform tablets--Turkey--Boğazköy.; Hattusa.; Louvite (Langue)--Histoire.; Louvite (Langue)--Textes.; Louvite (Langue)--Syntaxe.; Inscriptions cunéiformes.; Inscriptions louvites--Turquie--Boǧazköy.; Tablettes cunéiformes--Turquie--Boǧazköy.",https://pleiades.stoa.org/places/283602441,,0,v.2,,,,2024-01-04,2024-01-11
31154069000147,Book,,BF1591 .M3438 2024,NYU Inst Study Ancient World,Small Collection,9998631829907876,Magic and religion in the ancient Mediterranean world : studies in honor of Christopher A. Faraone /,1032341262; 9781032341262; 1032341270; 9781032341279; 9781003320661; 100332066X,,,Routledge/Taylor & Francis Group,"Abingdon, Oxon ; New York, NY :",2024.,"Magic, Ancient--Cross-cultural studies.; Mediterranean Region--Religion.; Magic, Ancient; Religion; Mediterranean Region; Cross-cultural studies; Internum Mare.; Magie ancienne--Études transculturelles.",https://pleiades.stoa.org/places/1043,,0,,,,,2024-01-05,2024-01-05
31154069000154,Book,,BS1174.3 .U247 2023,NYU Inst Study Ancient World,Small Collection,9998631829707876,"Über das Alte Testament hinaus : exegetische, religionsgeschichtliche und archäologische Beiträge : Festschrift für Herbert Niehr /",396327218X; 9783963272189; 9783963272196; 3963272198,,,Zaphon,Münster :,2023.,"Bible. Old Testament Criticism, interpretation, etc.; Bible History of Biblical events.; Bible Antiquities.; Middle East.; Bible Histoire des événements bibliques.; Bible Antiquités.",http://vocab.getty.edu/tgn/7001526,,2,,,,,2024-01-05,2024-01-05
31154069000162,Book,,DS284.9 .I73 2023,NYU Inst Study Ancient World,Small Collection,9998631829607876,"Iran and the transformation of ancient Near Eastern history : the Seleucids (ca. 312-150 BCE) : proceedings of the third Payravi Conference on Ancient Iranian History, UC Irvine, February 24th-25th, 2020 /",3447120568; 9783447120562,,"Payravi Conference on Ancient Iranian History Irvine, Calif.), 2020 : author. (3rd :",Harrassowitz Verlag,Wiesbaden :,2023.,Seleucids--Congresses.; Iran--History--To 640--Congresses.; Middle East--History--To 622--Congresses.; Seleucid Empire.; Persia.; Middle East.; Iran.; Séleucides--Congrès.; Iran--Histoire--Jusqu'à 651--Congrès.; Moyen-Orient--Histoire--Jusqu'à 622--Congrès.,https://pleiades.stoa.org/places/45635759; http://vocab.getty.edu/tgn/7024079; http://vocab.getty.edu/tgn/7001526; http://vocab.getty.edu/tgn/7000231;,,0,,,,,2024-01-05,2024-01-05
31154069000170,Book,,DS741.5 .C35 1999,NYU Inst Study Ancient World,Reference 5 Collection,990015239340107876,The Cambridge history of ancient China : from the origins of civilization to 221 B.C. /,0521470307; 9780521470308,,,Cambridge University Press,"Cambridge, U.K. ; New York :",1999.,China--History--To 221 B.C.; China--Civilization--To 221 B.C.; China--Antiquities.,,,0,,Bunker,,,2024-01-05,2024-01-06
31154069000188,Book,,PJ4031,NYU Inst Study Ancient World,Small Collection,990003783420107876,Le vocabulaire des sentiments dans les textes sumériens : recherche sur le lexique sumérien et akkadien /,9783934628816; 3934628818,,"Jaques, Margaret.",Ugarit-Verlag,Münster :,2006.,Language and emotions; 17.56 semantics: general.; Wortfeld; Gefühl; Akkadisch; Sumerisch; Sumerian.; Akkadian.; Semantic relations.; Emotions.; Language and emotions.; Sumerian language--Lexicology.; Akkadian language--Lexicology.; Sumer.; Sumerisch.; Akkadisch.; Sumérien (Langue)--Lexicologie.; Akkadien (Langue)--Lexicologie.; Langage et émotions.,https://pleiades.stoa.org/places/202833934;,,0,,,,,2024-01-05,2024-01-06
31154069000196,Book,,DS272 .C656 2023,NYU Inst Study Ancient World,Small Collection,9998635330207876,Coming to terms with the future : concepts of resilience for the study of early Iranian societies /,9464261463; 9789464261462; 9464261455; 9789464261455,,,Sidestone Press,Leiden :,[2023],Uplands--Iran--History--To 1500.; Human settlements--Iran--History.; Iran--Historical geography.; Iran--Civilization.; Resilience (Personality trait)--Iran--History--To 1500.; Civilization; Historical geography; Human settlements; Resilience (Personality trait); Uplands; Iran; To 1500; History; Iran.; Persia.; Établissements humains--Iran--Histoire.; Iran--Civilisation.,http://vocab.getty.edu/tgn/7000231; http://vocab.getty.edu/tgn/7024079;,,0,,,,,2024-01-08,2024-01-08
31154069000204,Book,,BL1600 .R429 1997,NYU Inst Study Ancient World,Small Collection,990015040540107876,Religion und Gesellschaft : Studien zu ihrer Wechselbeziehung in den Kulturan des Antiken Orients : Veröffentlichungen des Arbeitskreises zur Erforschung der Religions- und Kulturgeschichte des Antiken Vorderen Orients (AZERKAVO) /,9783927120549; 3927120545,,,Ugarit,Münster :,©1997-,Middle East--Religion.; Religion and sociology--Middle East--History.; Middle East--Civilization--To 622.; Middle East--Antiquities.; Excavations (Archaeology)--Middle East.; Antiquities; Civilization; Excavations (Archaeology); Religion; Religion and sociology; Middle East; To 622; History; Middle East.; Moyen-Orient--Civilisation--Jusqu'à 622.; Moyen-Orient--Antiquités.,http://vocab.getty.edu/tgn/7001526;,,0,Bd.1,,,,2024-01-08,2024-01-08
31154069000212,Book,,DS154.9.J58 L35 2007,NYU Inst Study Ancient World,Small Collection,990030737630107876,Tell Johfiyeh : ein archäologischer Fundplatz und seine Umgebung in Nordjordanien : Materialien zu einer Regionalstudie /,9783868350005; 3868350004,,"Lamprichs, Roland, 1961-",Ugarit-Verlag,Münster :,2008.,Tell Jofiyeh Site (Jordan)--Antiquities.; Jordan--Antiquities.; Iron age--Jordan.; Antiquities; Iron age; Jordan; Tell Johfiyeh.; Jordan.; Jordanie--Antiquités.,https://pleiades.stoa.org/places/177903359; http://vocab.getty.edu/tgn/1000121;,https://id.oclc.org/worldcat/entity/E39PBJgMCMwpB3Qrd9t7MBYHG3;,1,,,,,2024-01-08,2024-01-08
31154069000220,Book,,NB80 .K34 1999,NYU Inst Study Ancient World,Small Collection,990016187450107876,"Ein assyrisches Bildexperiment nach ägyptischem Vorbild : Zu Planung und Ausführung der ""Schlacht am Ulai"" /",9783927120808; 3927120804,,"Kaelin, Oskar.",Ugarit-Verlag,Münster :,1999.,"Ashurbanipal,--King of Assyria,--active 668-627 B.C.; Sculpture, Assyro-Babylonian--Iraq--Nineveh (Extinct city); Sculpture, Egyptian--Influence.; Relief (Sculpture), Assyro-Babylonian--Iraq--Nineveh (Extinct city); Relief (Sculpture), Egyptian--Influence.; Nineveh (Extinct city); Relief (Sculpture), Assyro-Babylonian; Sculpture, Assyro-Babylonian; Sculpture, Egyptian--Influence; Iraq--Nineveh (Extinct city); Relief; Palast Assurbanipals--Ninive; Palast Sanheribs--Ninive; Ashurbanipal,--King of Assyria,--active 668 B.C.-627 B.C.--Military leadership--Sources.; Palace of Sennacherib (Nineveh)--Details.; Ulai River (Iraq?), Battle On, 653 B.C., in art.; Relief (Sculpture), Assyro-Babylonian.; Akkadian language--Texts.; Nineveh (Extinct city)--Antiquities.; Palace of Ashurbanipal.; Nineveh/Ninos.; Assurbanipal--(roi d'Assyrie ;--06.-0627? av. J.-C.); Relief (sculpture) assyro-babylonien--Irak--Ninive (ville ancienne); Relief (sculpture) égyptien--Égypte--Cheik Abd el-Gournah (site archéologique); Ninive (ville ancienne); Ninive--Palast Sanheribs.; Ninive--Palast Assurbanipals.; Sculpture assyro-babylonienne--Irak--Ninive (Ville ancienne); Sculpture égyptienne--Influence.; Relief (Sculpture) assyro-babylonien--Irak--Ninive (Ville ancienne); Relief (Sculpture) égyptien--Influence.; Ninive (Ville ancienne)",https://pleiades.stoa.org/places/301732141; https://pleiades.stoa.org/places/874621;,,0,,,,,2024-01-08,2024-01-09
31154069000238,Book,,DS324.L8 H374 2023,NYU Inst Study Ancient World,Large Collection,9998635329907876,Sangtarashan : l'âge du fer au Pish Kuh du Luristan /,9042946830; 9789042946835; 9789042946842; 9042946849,,"Hashemi, Zahra, 1987- author.",Peeters,Leuven :,2023.,Excavations (Archaeology)--Iran--Luristān.; Bronze age--Iran--Luristān.; Iron age--Iran--Luristān.; Bronze age; Excavations (Archaeology); Iron age; Iran--Luristān; Excavations (Archaeology)--Iran--Luristan; Bronze age--Iran--Luristan; Iron age--Iran--Luristan; Sangtarashan.; Sangtarashan Site (Iran); Fouilles (Archéologie)--Iran--Lorestān.,https://pleiades.stoa.org/places/926147613;,https://id.oclc.org/worldcat/entity/E39QbtfRFFyv8bYf7th7RM33XM;,0,,White-Levy Program,,,2024-01-08,2024-01-08
31154069000246,Book,,HN9 .E33 2023,NYU ISAW Offsite,Offsite Collection,9998635329307876,Thirdspace in Assyrien und Urartu : eine Archäologie der Sinne und Subalternität in der Eisenzeit in Nordmesopotamien /,9464280557; 9789464280555; 9789464280562; 9464280565; 9789464280548; 9464280549,,"Egbers, Vera, author.",Sidestone Press,Leiden :,[2023],"Social history--To 500.; Marginality, Social--Assyria.; Urartians--Psychology.; Deportees--Psychology.; Prisoners of war--Psychology.; Urartians--Antiquities.; Assyria--Antiquities.; Antiquities; Marginality, Social; Middle East--Assyria; Assyria (kingdom); Urartu.; Histoire sociale--Jusqu'à 500.; Ourartéens--Psychologie.",https://pleiades.stoa.org/places/29492; https://pleiades.stoa.org/places/214160492,,0,,,,,2024-01-08,2025-02-11
31154069000253,Book,,PJ3721.N9 M354 2020,NYU Inst Study Ancient World,Small Collection,9998635326607876,Life in Nuzi's suburbs : text editions from private archives (JEN 834-881) /,8869694054; 9788869694059; 9788869694042; 8869694046,,"Maidman, M. P., author.",Ca' Foscari,Venezia :,2020.,Akkadian language--Texts.; Nuzi (Extinct city); Cuneiform tablets--Iraq--Nuzi (Extinct city); Akkadian language; Cuneiform tablets; Iraq--Nuzi (Extinct city); Texts; [Nuzi]; Akkadien (Langue)--Textes.; Nouzi (Ville ancienne); Tablettes cunéiformes--Irak--Nouzi (Ville ancienne),https://pleiades.stoa.org/places/894054;,,0,,,,,2024-01-09,2024-01-09
31154069000261,Book,,NB163.F6 M49 2006,NYU ISAW Offsite,Offsite Collection,9998635326507876,Die Personifikation der Stadt Antiocheia : ein neues Bild für eine neue Gottheit /,9783110181791; 3110181797; 3110191105; 9783110191103,,"Meyer, Marion.",De Gruyter,Berlin ; New York :,2006.,"Tyche--(Greek deity)--Art.; Fortuna--(Roman deity)--Art.; Antioch (Turkey)--In art.; Antioch (Turkey)--Antiquities.; Personification in art.; Sculpture, Classical--Turkey--Antioch.; Fortuna--(Roman deity); Tyche--(Greek deity); personification.; Antiquities; Personification in art; Sculpture, Classical; Turkey--Antioch; works of art.; Art; Art.; 21.52 history of sculpture.; Tyche; Personifikation; Plastik; Antiochia--Orontes; Hochschulschrift.; Plastieken.; Personificatie.; Steden.; Receptie.; Antakya.; Antiochia/Theoupolis.; Œuvres d'art.; Grekisk konst--teman och motiv.; Mindre Asien--Antakya.; Tyche.; Personnification (Art); Sculpture antique--Turquie--Antioche.",https://pleiades.stoa.org/places/658381;,,0,,,,,2024-01-09,2025-02-11
31154069000279,Book,,DS281 .P4685 2023,NYU Inst Study Ancient World,Small Collection,9998637329907876,The Persian world and beyond : Achaemenid and Arsacid studies in honour of Bruno Jacobs /,3963272260; 9783963272264; 9783963272271; 3963272279,,,Zaphon,Münster :,2023.,"Achaemenid dynasty,--559-330 B.C.; Arsacid dynasty,--247 B.C.-224 A.D.; Iran--History--To 640.; Achaemenid Empire.; Persia.; Iran.; Iran--Histoire--Jusqu'à 651.",http://vocab.getty.edu/tgn/6000039; http://vocab.getty.edu/tgn/7024079; http://vocab.getty.edu/tgn/7000231;,,0,,,,,2024-01-11,2024-01-11
31154069000287,Book,,DS109.8.J45 J49 2000,NYU Inst Study Ancient World,Large Collection,990016536860107876,"Jewish Quarter excavations in the Old City of Jerusalem : conducted by Nahman Avigad, 1969-1982 /",9789652210401; 9652210404; 9789652210517; 965221051X; 9789652210609; 9652210609; 9652210803; 9789652210807; 9652210862; 9789652210869; 9652210935; 9789652210937; 9652211168; 9789652211163; 9652211281; 9789652211286; 9652211311; 9789652211316,,,Institute of Archaeology Hebrew University of Jerusalem; Israel Exploration Society,Jerusalem :,2000-<2023>,"Rovaʻ ha-Yehudi (Jerusalem)--Antiquities.; Jerusalem--Antiquities.; Excavations (Archaeology)--Jerusalem.; Antiquities; Excavations (Archaeology); Middle East--Jerusalem; Middle East--Jerusalem--Rovaʻ ha-Yehudi; 15.30 archaeology: general.; Ausgrabung; Jerusalem; Altstadt; Opgravingen.; Excavations (Archaeology)--Israel--Jerusalem.; Archaeology--Israel.; Jerusalem (Israel); Jerusalem (Israel)--Antiquities.; Avīgad, Naḥman.; Ierusalem/Hierosolyma/Col. Aelia Capitolina.; Juden.; Fouilles (Archéologie)--Jérusalem.; Quartier juif (Jérusalem); Quartier juif (Jérusalem)--Antiquités.; Jérusalem--Antiquités.",https://pleiades.stoa.org/places/687928;,https://id.oclc.org/worldcat/entity/E39PBJkp9jBRd8fKjb3BBXQDv3;,0,v.9,White-Levy Program,,,2024-01-12,2024-01-12
31154069000295,Book,,PJ1555 .A3 2023,NYU Inst Study Ancient World,Large Collection,9998637329507876,The Greenfield Papyrus : funerary papyrus of a priestess at Karnak Temple (c. 950 BCE) /,9042948426; 9789042948426; 9789042948433; 9042948434,,,Peeters,"Leuven ; Paris ; Bristol, CT :",2023.,"Book of the dead.; Egyptian language--Papyri, Hieratic.; Egypt--Antiquities.; Book of the dead; Antiquities; Egyptian language; Egypt; Papyri, Hieratic; Theban Tomb 320.; Ancient Egypt (region); Egypt.; Égypte--Antiquités.",https://pleiades.stoa.org/places/986129163; https://pleiades.stoa.org/places/981503; http://vocab.getty.edu/tgn/7016833;,,0,,,,,2024-01-12,2024-01-12
31154069000303,Book,,DS375.T54 S27 1985,NYU Inst Study Ancient World,Oversize Collection,990027364960107876,The golden hoard of Bactria : from the Tillya-tepe excavations in northern Afghanistan /,9780810909878; 0810909871,,"Sarianidi, V. I. (Viktor Ivanovich)",Aurora Art Publishers; HN Abrams,New York : Leningrad :,1985.,Tillya Tepe (Afghanistan); Goldwork--Afghanistan.; Afghanistan--Antiquities.; Tombs--Afghanistan.; Antiquities; Goldwork; Tombs; Afghanistan; Afghanistan--Tillya Tepe; Goldgegenstand; Tillja-Tepe; Tillya tepe.; Afghanistan.; Afghānistān--Antiquités.; Tombeaux--Afghānistān.; Geschichte 100 v. Chr.-100.; 100 v. chr. - 100 na chr.,https://pleiades.stoa.org/places/961969; http://vocab.getty.edu/tgn/7016612;,https://id.oclc.org/worldcat/entity/E39PBJjXpC7xxDYf4fj9jQq4v3;,0,,,,,2024-01-12,2024-01-12
31154069000311,Book,,DF221.K36 A24 2021,NYU Inst Study Ancient World,Large Collection,9998637329207876,Ayia Irini : Area B /,1948488574; 9781948488570; 9781948488679; 1948488671,,"Abell, Natalie, author.",Lockwood Press,"Atlanta, Georgia :",[2021],"Ayia Irini Site (Kea, Greece); Excavations (Archaeology)--Greece--Kea.; Kea (Greece)--Antiquities.; Pottery, Aegean--Greece--Kea.; Bronze age--Greece--Kea.; Civilization, Aegean.; Antiquities; Bronze age; Civilization, Aegean; Excavations (Archaeology); Pottery, Aegean; Greece--Ayia Irini Site (Kea); Greece--Kea; Ag. Eirene.; Ayia Irini (Kéa, Grèce : Site archéologique); Civilisation égéenne.",https://pleiades.stoa.org/places/570033;,,0,,,,,2024-01-12,2024-01-12
31154069000329,Book,,N5633 .B73 2005,NYU Inst Study Ancient World,Small Collection,990003158650107876,Orientalischer Import in Griechenland im frühen 1. Jahrtausend v. Chr. /,9783934628724; 3934628729,,"Braun-Holzinger, Eva Andrea, author.",Ugarit-Verlag,Münster :,2005.,"Art objects, Ancient--Middle East.; Middle East--Commerce--Greece.; Greece--Commerce--Middle East.; Iron age--Greece.; Art objects, Ancient; Commerce; Iron age; Greece; Middle East; 15.51 Antiquity.; Import; Metallkunst; Sachkultur; Griechenland--Altertum; Orient; Import.; Art, Greek--Oriental influences.; Greece--Civilization--Oriental influences.; Greece--Antiquities.; Hellas.; Greece (ancient); Middle East.; Greece.; Geschichte.",https://pleiades.stoa.org/places/696690497; http://vocab.getty.edu/tgn/7594735; http://vocab.getty.edu/tgn/7001526; http://vocab.getty.edu/tgn/1000074,https://id.oclc.org/worldcat/entity/E39PBJxd6hw8HtWYq9JY6hjjYP;,0,,,,,2024-01-12,2024-01-12
31154069000337,Book,,DS56 .M554 2003,NYU Inst Study Ancient World,Small Collection,990010273830107876,"Herrscherpräsentation und Kulturkontakte, Ägypten, Levante, Mesopotamien : acht Fallstudien /",9783934628373; 3934628370,,"Morenz, Ludwig D.",Ugarit-Verlag,Münster :,2003.,Egypt--Antiquities.; Moab (Kingdom)--Antiquities.; Mawjib Wadi (Jordan)--Antiquities.; Edom (Kingdom)--Antiquities.; Bronze age--Middle East.; Stele (Archaeology)--Middle East.; Monarchy in art.; Kings and rulers in art.; Culture diffusion--Middle East.; Antiquities; Bronze age; Culture diffusion; Kings and rulers in art; Monarchy in art; Stele (Archaeology); Egypt; Jordan--Mawjib Wadi; Middle East; Middle East--Edom (Kingdom); Middle East--Moab (Kingdom); 15.51 Antiquity.; Geschichte; Kulturkontakt; Alter Orient; Heersers.; Oudheid.; Iconografie.; Beeldvorming.; Acculturation--Middle East--To 622.; Middle East--Kings and rulers.; Middle East--Civilization--To 622.; Middle East--Antiquities.; Idumaea.; Ancient Egypt (region); Moab.; Middle East.; Egypt.; Alter Orient--Kunst.; Ägypten (Altertum)--Kunst.; Moyen-Orient--Antiquités.; Égypte--Antiquités.; Monarchie dans l'art.; Rois et souverains dans l'art.; Aufsatzsammlung.,https://pleiades.stoa.org/places/687927; https://pleiades.stoa.org/places/981503; https://pleiades.stoa.org/places/857932176; http://vocab.getty.edu/tgn/7001526; http://vocab.getty.edu/tgn/7016833;,https://id.oclc.org/worldcat/entity/E39QbtfRDwpX7XgppvP7ww3J9c;,0,,,,,2024-01-12,2024-01-12
31154069000345,Book,,BF1591 .S36 2004,NYU Inst Study Ancient World,Small Collection,990011319630107876,Magie im Alten Testament /,9783934628526; 3934628524,,"Schmitt, Rüdiger, 1964- author.",Ugarit-Verlag,Münster :,2004.,"Magic, Semitic.; Magic--Palestine.; Magic--Biblical teaching.; Magic--Terminology.; Hebrew language--Terms and phrases.; Hebrew language--Terms and phrases; Magic; Magic--Biblical teaching; Magic, Semitic; Middle East--Palestine; dictionaries.; Dictionaries; Dictionaries.; Bibel Altes Testament; Magie; Oude Testament.; Magie.; Magic in the Bible.; Palaestina.; Dictionnaires.; Magie sémitique.",https://pleiades.stoa.org/places/991396,,0,,,,,2024-01-12,2024-01-12
31154069000352,Book,,BL1640 .D547,NYU Inst Study Ancient World,Small Collection,990017216130107876,Studien zu den ugaritischen Texten /,9783927120846; 3927120847,,"Dietrich, Manfried.",Ugarit-Verlag,Münster :,2000-,"Gods, Ugaritic.; Ugarit (Extinct city)--Religion.; Ugaritic literature--Relation to the Old Testament.; Gods, Ugaritic; Mythology, Ugaritic; Religion; Religious literature, Ugaritic; Ugaritic literature--Relation to the Old Testament; Syria--Ugarit (Extinct city); Keilschrifttext; Ugarit; Mythology, Ugaritic.; Religious literature, Ugaritic.; Ugaritic literature--Relation to the Bible.; Leukos Limen.; Littérature religieuse ougaritique.; Mythologie d'Ougarit.; Dieux d'Ougarit.; Ougarit (Ville ancienne)--Religion.; Littérature ougaritique--Relation avec l'Ancien Testament.",https://pleiades.stoa.org/places/668295;,,0,Bd.1:2000,,,,2024-01-12,2024-01-12
31154069000360,Book,,BL1615 .F75 2003,NYU Inst Study Ancient World,Small Collection,990011747560107876,"""- und weinten um Tammuz"" : die Götter Dumuzi-Amaʼušumgalʼanna und Damu /",9783934628427; 3934628427,,"Fritz, Michael M.",Ugarit-Verlag,Münster :,2003.,"Gods, Sumerian.; Gods, Sumerian; Sumerian poetry; Criticism, interpretation, etc.; 11.12 Mesopotamian religions.; Damu; Dumusi; Tammoez (god); Letterkunde.; Soemerisch.; Akkadisch.; Sumerian poetry--History and criticism.; Tammuz (Assyro-Babylonian deity); Sumer.; Damu.; Dumusi.; Dieux sumériens.; Poésie sumérienne--Histoire et critique.",https://pleiades.stoa.org/places/202833934,,0,,,,,2024-01-12,2024-01-12
31154069000378,Book,,PJ3651 .K345 1998,NYU Inst Study Ancient World,Small Collection,990014581580107876,"Šimâ milka : Induktion und Reception der mittelbabylonischen Dichtung von Ugarit, Emār und Tell el-ʻAmarna /",9783927120471; 3927120472,,"Kämmerer, Thomas R.",Ugarit-Verlag,Münster :,1998.,"Assyro-Babylonian poetry--History and criticism.; Assyro-Babylonian poetry--Syria--Ugarit (Extinct city); Assyro-Babylonian poetry--Syria--Emar (Extinct city); Assyro-Babylonian poetry--Egypt--Tell el-Amarna.; Assyro-Babylonian poetry; Egypt--Tell el-Amarna; Syria--Emar (Extinct city); Syria--Ugarit (Extinct city); Criticism, interpretation, etc.; 18.70 Semitic languages and/or literature.; Keilschrifttext; Literatur; Mittelbabylonisch; Amarna; Emar; Ugarit; Letterkunde.; Babylonisch.; Assyro-Babylonian poetry--Syria--Ugarit (Extinct city)--History and criticism.; Assyro-Babylonian poetry--Syria--Emar--History and criticism.; Assyro-Babylonian poetry--Egypt--Tell el-Amarna--History and criticism.; Akkadian language--Texts.; Sima Milka (Assyro Babylonian word); Ugarit (Extinct city)--Archival resources.; Emar (Extinct city)--Archival resources.; Tell el-Amarna (Egypt)--Archival resources.; Leukos Limen.; Emar.; Amarna.; Mittelbabylonisch.; Poésie assyro-babylonienne--Histoire et critique.; Poésie assyro-babylonienne--Syrie--Ougarit (Ville ancienne); Poésie assyro-babylonienne--Syrie--Emar (Ville ancienne)",https://pleiades.stoa.org/places/668295; https://pleiades.stoa.org/places/279984092; https://pleiades.stoa.org/places/149576487;,,0,,,,,2024-01-12,2024-01-12
31154069000386,Book,,CJ1363 .S96,NYU Inst Study Ancient World,Large Collection,990010272040107876,Sylloge nummorum Sasanidarum : Paris-Berlin-Wien /,9783700132240; 3700132247; 3700169930; 9783700169932; 9783700133148; 3700133146; 3700189877; 9783700189879,,"Alram, Michael, author.",Verlag der Österreichischen Akademie der Wissenschaften,Wien :,2003-<[2022]>,"Coins, Sassanid.; Coins, Sassanid--Catalogs.; Sassanids.; Iran--Antiquities.; Antiquities; Iran; Catalogs; 15.23 numismatics, sphragistics.; Sassaniden; Münze; Munten.; Sassaniden.; Coins, Sassanid; Coins, Sassanid--Catalogs; Sassanids; Iran--Antiquities; Sasanian Empire.; Persia.; Iran.; Monnaies sassanides.; Monnaies sassanides--Catalogues.; Sassanides.; Iran--Antiquités.",http://vocab.getty.edu/tgn/6005268; http://vocab.getty.edu/tgn/7024079; http://vocab.getty.edu/tgn/7000231;,https://id.oclc.org/worldcat/entity/E39PBJtrYvcVTwChrDqytBvJXd;,0,v.3:pt.1:2004,,,,2024-01-12,2024-01-12
