id,Material Type,Process Type,call_number,Library Name,Location Name,mms_id,title,ISBN,ISSN,Author,Publisher,Publication Place,Publication Date,Subjects,651$$0,651$$1,Num of Loans Including Pre-Migration (In House),Description,Internal Note 1,Internal Note 2,Internal Note 3,date_acquired,Item Modification Date,predicted_category,confidence,prob_Ancient Western Asia,prob_Central Asia & Siberia,"prob_China, South Asia, & East Asia",prob_Cross-Cultural Studies & Other,prob_Egypt & North Africa,prob_European and Classical Antiquity,prob_The Caucasus & The Western Steppe,final_category
31154069007514,Book,In Process,GN492.55 .E37 1997,NYU Inst Study Ancient World,Small Collection,990013140920107876,How chiefs come to power : the political economy in prehistory /,9780804728553; 0804728550; 9780804728560; 0804728569,,"Earle, Timothy K., 1946-",Stanford University Press,"Stanford, Calif. :",1997.,"Balance of power.; social structure.; Balance of power; Chiefdoms; Economics, Prehistoric; Social structure; 73.72 politics and government (ethnology); Stamhoofden.; Macht.; Prehistorie.; Antropologia política.; Economia prehistòrica.; Societat primitiva--Aspectes socials.; Power (Social sciences); Chiefdoms.; Economics, Prehistoric.; Social structure.; Préhistoire.; Chefferie (anthropologie); Economie préhistorique.; Chefferie (Anthropologie); Pouvoir (Sciences sociales); Équilibre des puissances.; Économie préhistorique.; Structure sociale.",,,0,,,,,2026-01-08,2026-01-14,Central Asia & Siberia,0.3277661178278991,0.091046143841083,0.3277661178278991,0.2979691980253628,0.0702355966774069,0.0585296638978391,0.0520263679091903,0.1024269118212184,Cross-Cultural Studies & Other
31154068978087,Book,,BT1410 .O5 2025,NYU Inst Study Ancient World,Large Collection,9998775173207876,On the matter : studies on Manichaeism and church history presented to Nils Arne Pedersen at sixty-five /,2503617115; 9782503617114,,,Brepols,Turnhout :,[2025],Manichaeism--History.; Church history.; church history.; Festschriften.; Ancient Egypt (region); Central Asia.; Middle East.; Manichéisme--Histoire.; Église--Histoire.,https://pleiades.stoa.org/places/981503; http://vocab.getty.edu/tgn/8697475; http://vocab.getty.edu/tgn/7001526,,0,,,,,2026-01-07,2026-01-07,European and Classical Antiquity,0.4567838000141337,0.2491548000077093,0.042823481251325,0.0996619200030837,0.0,0.1257203119304955,0.4567838000141337,0.0258556867932528,Egypt & North Africa
31154068978095,Issue,,CB3 .A53,NYU Inst Study Ancient World,Oak Collection,990036142830107876,Anabasis : studia classica et orientalia.,,2082-8993,,Wydawnictwo Uniwersytetu Rzeszowskiego,Rzeszów :,2010-,"Civilization, Ancient--Periodicals.; Asia, Central--Civilization--Periodicals.; Caucasus--Civilization--Periodicals.; Europe, Eastern--Civilization--Periodicals.; Middle East--Civilization--Periodicals.; Turkey--Civilization--Periodicals.; Civilization, Greco-Roman--Periodicals.; Civilization, Oriental--Periodicals.; Civilization; Civilization, Ancient; Civilization, Greco-Roman; Civilization, Oriental; Central Asia; Caucasus; Eastern Europe; Middle East; Turkey; Periodicals; Periodicals.; Caucasus (mountain range); Asia Minor.; Turkey.; Eastern Europe.; Middle East.; Central Asia.",https://pleiades.stoa.org/places/863766; https://pleiades.stoa.org/places/837; https://vocab.getty.edu/tgn/1000144; http://vocab.getty.edu/tgn/4003756; http://vocab.getty.edu/tgn/7001526; http://vocab.getty.edu/tgn/8697475,https://id.oclc.org/worldcat/entity/E39PBJvmQdDFKvWPC3kQ3WRdwC; https://id.oclc.org/worldcat/entity/E39PBJxmHG9jJjCTM3y4pFRqcP;,0,v.11(2020),,,,2026-01-09,2026-01-09,European and Classical Antiquity,0.6089161595632868,0.1752940459348856,0.0448426629135753,0.0701176183739542,0.0826386216550175,0.0,0.6089161595632868,0.0181908915592805,The Caucasus & The Western Steppe
31154068978103,Bound Issue,,CB3 .A53,NYU Inst Study Ancient World,Oak Collection,990036142830107876,Anabasis : studia classica et orientalia.,,2082-8993,,Wydawnictwo Uniwersytetu Rzeszowskiego,Rzeszów :,2010-,"Civilization, Ancient--Periodicals.; Asia, Central--Civilization--Periodicals.; Caucasus--Civilization--Periodicals.; Europe, Eastern--Civilization--Periodicals.; Middle East--Civilization--Periodicals.; Turkey--Civilization--Periodicals.; Civilization, Greco-Roman--Periodicals.; Civilization, Oriental--Periodicals.; Civilization; Civilization, Ancient; Civilization, Greco-Roman; Civilization, Oriental; Central Asia; Caucasus; Eastern Europe; Middle East; Turkey; Periodicals; Periodicals.; Caucasus (mountain range); Asia Minor.; Turkey.; Eastern Europe.; Middle East.; Central Asia.",https://pleiades.stoa.org/places/863766; https://pleiades.stoa.org/places/837; https://vocab.getty.edu/tgn/1000144; http://vocab.getty.edu/tgn/4003756; http://vocab.getty.edu/tgn/7001526; http://vocab.getty.edu/tgn/8697475,https://id.oclc.org/worldcat/entity/E39PBJvmQdDFKvWPC3kQ3WRdwC; https://id.oclc.org/worldcat/entity/E39PBJxmHG9jJjCTM3y4pFRqcP;,0,v.12-13(2021-2022),,,,2026-01-09,2026-01-09,European and Classical Antiquity,0.6089161595632868,0.1752940459348856,0.0448426629135753,0.0701176183739542,0.0826386216550175,0.0,0.6089161595632868,0.0181908915592805,The Caucasus & The Western Steppe
31154068978111,Book,,DS81 .W66 2011,NYU Inst Study Ancient World,Small Collection,990036440440107876,Ancient Phoenicia : an introduction /,185399734X; 9781853997341,,"Woolmer, Mark.",Bristol Classical Press,London :,2011.,Middle East--Phoenicia; History; Phoenicia--History.; Phoenice.; Fenicier--historia.; Fenicien--historia--forntiden.,https://pleiades.stoa.org/places/678334;,https://id.oclc.org/worldcat/entity/E39PBJqQC6bRhwGc8gRhx7JJjC;,0,,,,,2026-01-28,2026-01-28,Ancient Western Asia,0.7287903868337026,0.7287903868337026,0.065207560927226,0.0450524966406288,0.0530975853264554,0.0568322778723529,0.0393315446862633,0.0116881477133707,Ancient Western Asia
31154068978129,Book,,DS81 .Q56 2018,NYU Inst Study Ancient World,Small Collection,990073794370107876,In search of the Phoenicians /,0691175276; 9780691175270; 069119596X; 9780691195964,,"Quinn, Josephine Crawley, author.",Princeton University Press,Princeton :,[2018],Phoenician antiquities; Phoenicians; History; HISTORY / Ancient / General.; Phöniker; Mittelmeerraum; Phoenicians--History.; Phoenician antiquities.; Phoenice.; Phéniciens--Histoire.; Antiquités phéniciennes.,https://pleiades.stoa.org/places/678334,,0,,,,,2026-01-28,2026-01-28,Ancient Western Asia,0.7658576675350744,0.7658576675350744,0.0414007063337539,0.0473439285385318,0.0557982014918411,0.0597228456334691,0.0175940274974273,0.0122826229699021,Ancient Western Asia
31154068978137,Book,,DE73.2.P56 P86 2014,NYU Inst Study Ancient World,Small Collection,990040822170107876,The Punic Mediterranean : identities and identification from Phoenician settlement to Roman rule /,110705527X; 9781107055278; 1107663784; 9781107663787; 9781316191231; 1316191230,,,Cambridge University Press,"Cambridge, United Kingdom :",2014.,"Phoenicians--Western Mediterranean--History.; Cities and towns, Ancient--Western Mediterranean.; Carthaginians--Western Mediterranean--History.; Western Mediterranean--Antiquities, Phoenician.; Punic antiquities--Western Mediterranean.; National characteristics, Mediterranean.; Group identity--Mediterranean Region.; Carthaginians; Cities and towns, Ancient; Group identity; National characteristics, Mediterranean; Phoenician antiquities; Phoenicians; Punic antiquities; Mediterranean Region; Mediterranean Region--Western Mediterranean; History; Phöniker; Punier; Mittelmeerraum; Karthager; Kulturelle Identität; Cartago (Ciutat antiga)--Civilització.; Cartaginesos--Història.; Fenicis--Història.; Carthaginians.; Qarṭājannah (Tunisia)--Civilization.; Phoenicians--History.; Western Mediterranean basin.; Phéniciens--Méditerranée occidentale--Histoire.; Villes antiques--Méditerranée occidentale.; Carthaginois--Méditerranée occidentale--Histoire.; Méditerranée occidentale--Antiquités phéniciennes.; Antiquités puniques--Méditerranée occidentale.",,https://www.wikidata.org/entity/Q111207474;,0,,,,,2026-01-28,2026-01-28,European and Classical Antiquity,0.7914262159934048,0.0,0.0151140423193184,0.0,0.1934597416872767,0.0,0.7914262159934048,0.0,European and Classical Antiquity
31154069006938,Book,,NB553.R7 R745 2026,NYU Inst Study Ancient World,Large Collection,9998775173407876,Rodin's Egypt /,9780691289304; 0691289301,,,Princeton University Press; Musée Rodin; The Institute for the Study of the Ancient World at New York University,[New York] : Paris :,[2026],"Rodin, Auguste,--1840-1917--Exhibitions.; Rodin, Auguste,--1840-1917--Criticism and interpretation.; Art, Egyptian--Exhibitions.; Art, Egyptian--Private collections--France--Exhibitions.; Egypt--Antiquities--Exhibitions.; works of art.; exhibition catalogs.; Art.; Exhibition catalogs.; Illustrated works.; Œuvres d'art.; Catalogues d'exposition.; Ouvrages illustrés.; Art égyptien--Expositions.; Art égyptien--Collections privées--France--Expositions.; Égypte--Antiquités--Expositions.",,,0,,,,,2026-01-07,2026-01-07,"China, South Asia, & East Asia",0.9006515035242332,0.0,0.0209453838028891,0.9006515035242332,0.0,0.0413142891524877,0.0285921112229915,0.0084967122973984,"China, South Asia, & East Asia"
31154069007464,Book,,DS748.18 .K54 2025,NYU Inst Study Ancient World,Small Collection,9998775480407876,Sekundäre Zentren der sechs Dynastien : Untersuchungen zu Gräbern am Yangzi-Mittellauf /,3447124261; 9783447124263; 9783447397148; 3447397144,,"Kieser, Annette, author.",Harrassowitz Verlag,Wiesbaden :,2025.,"Excavations (Archaeology)--China--Yangtze River Watershed.; Tombs--China--Yangtze River Watershed.; Yangtze River Watershed (China)--History--To 1500.; Yangtze River Watershed (China)--Antiquities.; China--History--221 B.C.-960 A.D.; Antiquities; Excavations (Archaeology); Tombs; China; China--Yangtze River Watershed; To 1500; History; Yangtze River.; Chine--Histoire--221 av. J.-C.-960.; Fouilles (Archéologie)--Chine--Yangzi jiang, Bassin du.; Tombeaux--Chine--Yangzi jiang, Bassin du.",http://vocab.getty.edu/tgn/1122679;,https://id.oclc.org/worldcat/entity/E39PBJdCqh8h6hJY7PT6MQW4bd;,0,,,,,2026-01-06,2026-01-06,"China, South Asia, & East Asia",0.7900327947237883,0.0493770496702367,0.1136740003031364,0.7900327947237883,0.0,0.0362400364552196,0.0106761188476187,0.0,"China, South Asia, & East Asia"
31154069007472,Book,,BX154.C4 B35 2025,NYU Inst Study Ancient World,Small Collection,9998775480307876,Syriac Christians in Tang China : Chinese texts and theologies /,3643918631; 9783643918635; 9783643968630; 3643968639,,"Balmont, Alexis, 1988- author.",Lit,Wien :,[2025],Syriac Christians--China--History.; Syriac Christians--China--History--Sources.; China--Church history--To 1500.; Theology--China--To 1500.; Syriac Christians--China.; primary sources.; Primary sources.; Sources.; \Imperial China.; Chrétiens syriaques--Chine.; Chine--Histoire religieuse--Jusqu'à 1500.; Théologie--Chine--Jusqu'à 1500.; Chrétiens syriaques--Chine--Histoire.; Chrétiens syriaques--Chine--Histoire--Sources.,http://vocab.getty.edu/tgn/8697462;,,1,,,,,2026-01-06,2026-01-06,Ancient Western Asia,0.6679492096607068,0.6679492096607068,0.0402558675465158,0.0936863826537095,0.0,0.0920134115348932,0.0817896991421273,0.0243054294620472,Ancient Western Asia
