id,Material Type,Process Type,call_number,Library Name,Location Name,mms_id,title,ISBN,ISSN,Author,Publisher,Publication Place,Publication Date,Subjects,651$$0,651$$1,Num of Loans Including Pre-Migration (In House),Description,Internal Note 1,Internal Note 2,Internal Note 3,date_acquired,Item Modification Date
31154068977444,Book,,DT73.M28 R45 2024,NYU Inst Study Ancient World,Oversize Collection,9998687525507876,Médamoud I : l'histoire d'une fouille 1924-1940 /,9782724710236; 2724710231,,"Relats Montserrat, Félix, 1987- author.",Institut français d'archéologie orientale,Le Caire :,2024.,Medamud Site (Egypt); Excavations (Archaeology)--Egypt--Medamud Site.; Excavations (Archaeology); Egypt--Medamud Site; Petemout/Kerameia?,https://pleiades.stoa.org/places/786088,,0,v.1,,,,2025-07-15,2025-07-15
31154068977451,Book,,DT73.M28 R45 2024,NYU Inst Study Ancient World,Oversize Collection,9998687525507876,Médamoud I : l'histoire d'une fouille 1924-1940 /,9782724710236; 2724710231,,"Relats Montserrat, Félix, 1987- author.",Institut français d'archéologie orientale,Le Caire :,2024.,Medamud Site (Egypt); Excavations (Archaeology)--Egypt--Medamud Site.; Excavations (Archaeology); Egypt--Medamud Site; Petemout/Kerameia?,https://pleiades.stoa.org/places/786088,,0,v.2,,,,2025-07-15,2025-07-15
31154068977469,Book,,DS66 .H29 2022,NYU Inst Study Ancient World,Small Collection,9998742208207876,Handbook Hittite empire : power structures /,3110657678; 9783110657678; 9783110661781; 3110661780; 9783110658101; 3110658100,,,De Gruyter Oldenbourg,Berlin ; Boston :,[2022],Hittites--History.; Hittites--Civilization.; Hittites; handbooks.; History; Reference works.; Handbooks and manuals.; Ouvrages de référence.; Guides et manuels.; Hittite Empire.; Hittites--Histoire.; Hittites--Civilisation.,http://vocab.getty.edu/tgn/6002562,,0,,,,,2025-07-15,2025-07-15
31154068977477,Book,,P950 .C67 1999,NYU Inst Study Ancient World,Oversize Collection,990016261720107876,Corpus of hieroglyphic Luwian inscriptions.,9783110108644; 311010864X; 9783110148701; 3110148706; 3110770393; 9783110770391,,,Walter de Gruyter,Berlin :,1999-<2024>,"Inscriptions, Luwian--Turkey--Karatepe Site.; Inscriptions, Phoenician--Turkey--Karatepe Site.; Luwian language--Texts.; Inscriptions, Hieroglyphic; Inscriptions, Luwian; Inscriptions, Phoenician; Turkey--Karatepe Site; 18.68 Indo-European languages: other.; Inschrift; Luwisch.; Inscriptions (form); Sources (form); Inscriptions, Luwian--Turkey.; Inscriptions, Phoenician--Turkey.; Inscriptions, Hieroglyphic.; Turkey--Antiquities.; Turkey--Antiquities, Phoenician.; Karatepe.; Asia Minor.; Hieroglyphenluwisch.; Inscriptions louvites--Turquie--Karatepe (Site archéologique); Inscriptions phéniciennes--Turquie--Karatepe (Site archéologique); Inscriptions hiéroglyphiques.; Louvite (Langue)--Textes.",https://pleiades.stoa.org/places/869993028; https://pleiades.stoa.org/places/837;,,0,v.3:pt.2,Bobst transfer,,,2025-07-16,2025-07-16
31154068977485,Book,In Process,DS798.3 .M676 2016,NYU ISAW Offsite,Offsite Collection,990058929890107876,Mongolyn arkheologiĭn ȯv /,9997309561; 9789997309563; 9997309146; 9789997309143; 9997309588; 9789997309587; 999730957X; 9789997309570; 9997309553; 9789997309556; 9997309596; 9789997309594; 9997342755; 9789997342751; 9997897293; 9789997897299; 9997877306; 9789997877307; 9919953865; ,,,Mongol Ulsyn Shinzhlėkh Ukhaany Akademi,Ulaanbaatar :,2016-<2022>,Mongolia--Antiquities.; Excavations (Archaeology)--Mongolia.; Antiquities; Excavations (Archaeology); Mongolia; Mongolia (nation); Mongolia.,http://vocab.getty.edu/page/tgn/7029379; http://vocab.getty.edu/tgn/7029379,https://id.oclc.org/worldcat/entity/E39PBJm9cxrHHp4ckGhwYX8XBP;,0,v.10,,,,2025-07-21,2025-07-21
31154068977493,Book,,DT73.I8 L64 2025,NYU Inst Study Ancient World,Large Collection,9998719799307876,Esna VII--Übersetzung : die Inschriften der Aussenwände des Pronaos von Esna /,3447122439; 9783447122436; 9783447396080; 3447396083,,"Löffler, Florian, author.",Harrassowitz Verlag,Wiesbaden :,2025.,"Temple of Khnum (Isnā, Egypt); Inscriptions, Egyptian--Egypt--Isnā.; Temple of Khnum at Esna.",https://pleiades.stoa.org/places/617165853,,0,,,,,2025-07-22,2025-07-22
31154068977501,Book,,DF221.K36 W55,NYU Inst Study Ancient World,Large Collection,990015884990107876,"Ayia Irini, periods I-III : the Neolithic and Early Bronze Age settlements /",9783805323413; 3805323417; 1957454075; 9781957454078,,"Wilson, David E. (David Earl)",Lockwood Press; P von Zabern,Mainz on Rhine :,1999-,"Ayia Irini Site (Kea, Greece); Excavations (Archaeology)--Greece--Kea.; Neolithic period--Greece--Kea.; Bronze age--Greece--Kea.; Kea (Greece)--Antiquities.; Antiquities; Bronze age; Excavations (Archaeology); Neolithic period; Greece--Ayia Irini Site (Kea); Greece--Kea; Bronzezeit; Ausgrabung; Funde; Neolithikum; Agia Irini; Neolithic period--Greece--Ayia Irini Site.; Bronze age--Greece--Ayia Irini Site.; Prehistoric peoples--Greece--Ayia Irini Site.; Excavations (Archaeology)--Greece--Ayia Irini Site.; Ayia Irini Site (Kea Island, Greece)--Antiquities.; Ag. Eirene.; Fouilles archéologiques--Agia Irini (Grèce ; site archéologique); Agia Irini (Grèce ; site archéologique)--Antiquités.; Ayia Irini (Kéa, Grèce : Site archéologique)",https://pleiades.stoa.org/places/570033;,https://id.oclc.org/worldcat/entity/E39PBJf8rTcykM687g4yPfV3cP;,0,pt.2:2025,,,,2025-07-22,2025-07-22
31154068977519,Book,,DF109 .E73 2025,NYU Inst Study Ancient World,Small Collection,9998742594207876,"Ehre und Inklusion : Versorgungsleistungen, Solidarität und Euergetismus im privaten Kultvereinswesen des hellenistischen Athen /",9783963272745; 3963272740; 9783963272752; 3963272759,,"Erdtmann, Jörg, author.",Zaphon,Münster :,2025.,"Associations, institutions, etc.--Greece--History--To 1500.; Group identity--Greece--History--To 1500.; Inscriptions, Greek--Greece--Athens.; Benefactors--Greece--Athens--History--To 1500.; Associations, institutions, etc.; Benefactors; Group identity; Inscriptions, Greek; Greece; Greece--Athens; To 1500; History; Inscriptions grecques--Grèce--Athènes.",,https://id.oclc.org/worldcat/entity/E39PBJxd6hw8HtWYq9JY6hjjYP; https://id.oclc.org/worldcat/entity/E39PBJyCyjWmm7b6fkX6kQQXh3,0,,,,,2025-07-28,2025-07-28
31154068977527,Book,,PA3315.O83 O86,NYU Inst Study Ancient World,Large Collection,990023041290107876,The Oxyrhynchus papyri /,0856980765; 9780856980763; 085698079X; 9780856980794; 0856980803; 9780856980800; 0856980811; 9780856980817; 0856980854; 9780856980855; 0856980862; 9780856980862; 0856980919; 9780856980916; 0856980927; 9780856980923; 0856980935; 9780856980930; 0856981044; ,,,The Egypt Exploration Society with the support of the the British Academy; Egypt Exploration Society with the support of the Arts and Humanities Research Council and the British Academy; Arts and Humanities Research Council by the Egypt Exploration Societ,London :,1898-<2008>,"Oxyrhynchus papyri.; Manuscripts, Greek (Papyri)--Egypt--Bahnasā.; Manuscripts, Greek (Papyri)--Facsimiles.; Bahnasā (Egypt)--Antiquities.; Antiquities; Egypt--Bahnasā; Facsimiles; Papyrus; Oxyrhynchos; Oxyrhynchus papyri; Manuscripts, Greek (Papyri); Inscriptions, Greek; Oxyrhynchus/Pemje.; Papyrus grecs--Égypte.; Manuscrits grecs.; Papyrus.; Oxyrhynchos.; Papyrus grecs.; Papyrus grecs--Fac-similés.",https://pleiades.stoa.org/places/736983;,https://id.oclc.org/worldcat/entity/E39PBJmp87kQ6PPX6mH76ymGHC;,2,v.88:2025,,,,2025-07-23,2025-09-19
31154068977535,Book,,PJ1014 .P3 v.52 2025,NYU Inst Study Ancient World,Small Collection,9998733490707876,Magica Levantina (Mag. Lev.) /,3506797778; 9783506797773; 9783657797776; 3657797777,,,Brill Schöningh,Paderborn :,[2025],"Blessing and cursing--Middle East.; Inscriptions, Greek--Middle East.; wax tablets.; Blessing and cursing; Inscriptions, Greek; Tablets (Paleography); Middle East; primary sources.; Primary sources.; Incantations.; Levant (region); Sources.; Tablettes (Paléographie); Incantations, Greek.",https://pleiades.stoa.org/places/930907033,,0,,,,,2025-07-31,2025-07-31
