id,Material Type,Process Type,call_number,Library Name,Location Name,mms_id,title,ISBN,ISSN,Author,Publisher,Publication Place,Publication Date,Subjects,651$$0,651$$1,Num of Loans Including Pre-Migration (In House),Description,Internal Note 1,Internal Note 2,Internal Note 3,date_acquired,Item Modification Date
31154068975380,Book,,PA3315 .T3 1902,NYU Inst Study Ancient World,Large Collection,990015184760107876,The Tebtunis papyri /,,,"Grenfell, Bernard P. 1869-1926, editor. (Bernard Pyne),",H Frowde Oxford University Press,"London, New York, :",1902-1976.,"Tebtunis (Extinct city); Manuscripts, Greek (Papyri); Egypt--Tebtunis (Extinct city); Manuscripts, Greek (Papyri)--Egypt--Tebtunis (Extinct city); Tebtunis (Extinct city)--Antiquities; Tebtynis/Theodosioupolis?.; Tebtynis/Theodosioupolis?; Tebtynis (Ville ancienne)",https://pleiades.stoa.org/places/737072; https://pleiades.stoa.org/places/737072;,,0,v.2,,,,2024-06-06,2024-06-06
31154068975398,Book,,Z7052 .S44 1967,NYU Inst Study Ancient World,Small Collection,990024311610107876,Geschichte des arabischen Schrifttums /,9004020071; 9789004020078; 9004043764; 9789004043763; 9004031316; 9789004031319; 9004020098; 9789004020092; 9004041532; 9789004041530; 9004058788; 9789004058781; 9004061592; 9789004061590; 9004068678; 9789004068674; 9004072616; 9789004072619; 382980055X; ,,"Sezgin, Fuat.",Institut für Geschichte der Arabisch-Islamischen Wissenschaften an der Johann Wolfgang Goethe-Universität; E J Brill,Leiden :,1967-2015.,"Arabic literature--Bio-bibliography.; Manuscripts, Arabic--Catalogs.; Civilization, Arab--Manuscripts--Catalogs.; Civilization, Arab--Sources--Bibliography.; Islamic Empire--History--Sources--Bibliography.; Islamic Empire--History--Manuscripts--Catalogs.; Literature--history; Medicine, Arabic--history; Bibliography; Arabic literature; Civilization, Arab--Manuscripts; Civilization, Arab--Sources; History--Sources; Manuscripts; Manuscripts, Arabic; Islamic Empire; bibliographies.; Bibliographies; Bio-bibliography; Catalogs; History; Literatuur.; Arabic literature--History and criticism.; Arabic literature--Bibliography.; Littérature arabe--biobibliographie.; Civilisation arabe--manuscrits--catalogues.; Civilisation arabe--sources--bibliographie.; Manuscrits arabes--catalogues.; Empire islamique--histoire--sources--bibliographie.; Empire islamique--histoire--manuscrits--catalogues.; Bibliographies.; Abbasid Caliphate.; Umayyad Caliphate.; Littérature arabe--Biobibliographie.; Manuscrits arabes--Catalogues.; Civilisation arabe--Manuscrits--Catalogues.; Civilisation arabe--Sources--Bibliographie.",http://vocab.getty.edu/tgn/6000008; http://vocab.getty.edu/tgn/8711885,,0,Bd.14,,,,2024-06-11,2024-06-11
31154068975406,Book,,Z7052 .S44 1967,NYU Inst Study Ancient World,Small Collection,990024311610107876,Geschichte des arabischen Schrifttums /,9004020071; 9789004020078; 9004043764; 9789004043763; 9004031316; 9789004031319; 9004020098; 9789004020092; 9004041532; 9789004041530; 9004058788; 9789004058781; 9004061592; 9789004061590; 9004068678; 9789004068674; 9004072616; 9789004072619; 382980055X; ,,"Sezgin, Fuat.",Institut für Geschichte der Arabisch-Islamischen Wissenschaften an der Johann Wolfgang Goethe-Universität; E J Brill,Leiden :,1967-2015.,"Arabic literature--Bio-bibliography.; Manuscripts, Arabic--Catalogs.; Civilization, Arab--Manuscripts--Catalogs.; Civilization, Arab--Sources--Bibliography.; Islamic Empire--History--Sources--Bibliography.; Islamic Empire--History--Manuscripts--Catalogs.; Literature--history; Medicine, Arabic--history; Bibliography; Arabic literature; Civilization, Arab--Manuscripts; Civilization, Arab--Sources; History--Sources; Manuscripts; Manuscripts, Arabic; Islamic Empire; bibliographies.; Bibliographies; Bio-bibliography; Catalogs; History; Literatuur.; Arabic literature--History and criticism.; Arabic literature--Bibliography.; Littérature arabe--biobibliographie.; Civilisation arabe--manuscrits--catalogues.; Civilisation arabe--sources--bibliographie.; Manuscrits arabes--catalogues.; Empire islamique--histoire--sources--bibliographie.; Empire islamique--histoire--manuscrits--catalogues.; Bibliographies.; Abbasid Caliphate.; Umayyad Caliphate.; Littérature arabe--Biobibliographie.; Manuscrits arabes--Catalogues.; Civilisation arabe--Manuscrits--Catalogues.; Civilisation arabe--Sources--Bibliographie.",http://vocab.getty.edu/tgn/6000008; http://vocab.getty.edu/tgn/8711885,,0,Bd.15,,,,2024-06-11,2024-06-11
31154068975414,Book,,Z7052 .S44 1967,NYU Inst Study Ancient World,Small Collection,990024311610107876,Geschichte des arabischen Schrifttums /,9004020071; 9789004020078; 9004043764; 9789004043763; 9004031316; 9789004031319; 9004020098; 9789004020092; 9004041532; 9789004041530; 9004058788; 9789004058781; 9004061592; 9789004061590; 9004068678; 9789004068674; 9004072616; 9789004072619; 382980055X; ,,"Sezgin, Fuat.",Institut für Geschichte der Arabisch-Islamischen Wissenschaften an der Johann Wolfgang Goethe-Universität; E J Brill,Leiden :,1967-2015.,"Arabic literature--Bio-bibliography.; Manuscripts, Arabic--Catalogs.; Civilization, Arab--Manuscripts--Catalogs.; Civilization, Arab--Sources--Bibliography.; Islamic Empire--History--Sources--Bibliography.; Islamic Empire--History--Manuscripts--Catalogs.; Literature--history; Medicine, Arabic--history; Bibliography; Arabic literature; Civilization, Arab--Manuscripts; Civilization, Arab--Sources; History--Sources; Manuscripts; Manuscripts, Arabic; Islamic Empire; bibliographies.; Bibliographies; Bio-bibliography; Catalogs; History; Literatuur.; Arabic literature--History and criticism.; Arabic literature--Bibliography.; Littérature arabe--biobibliographie.; Civilisation arabe--manuscrits--catalogues.; Civilisation arabe--sources--bibliographie.; Manuscrits arabes--catalogues.; Empire islamique--histoire--sources--bibliographie.; Empire islamique--histoire--manuscrits--catalogues.; Bibliographies.; Abbasid Caliphate.; Umayyad Caliphate.; Littérature arabe--Biobibliographie.; Manuscrits arabes--Catalogues.; Civilisation arabe--Manuscrits--Catalogues.; Civilisation arabe--Sources--Bibliographie.",http://vocab.getty.edu/tgn/6000008; http://vocab.getty.edu/tgn/8711885,,0,Bd.16,,,,2024-06-11,2024-06-11
31154068975422,Book,,Z7052 .S44 1967,NYU Inst Study Ancient World,Small Collection,990024311610107876,Geschichte des arabischen Schrifttums /,9004020071; 9789004020078; 9004043764; 9789004043763; 9004031316; 9789004031319; 9004020098; 9789004020092; 9004041532; 9789004041530; 9004058788; 9789004058781; 9004061592; 9789004061590; 9004068678; 9789004068674; 9004072616; 9789004072619; 382980055X; ,,"Sezgin, Fuat.",Institut für Geschichte der Arabisch-Islamischen Wissenschaften an der Johann Wolfgang Goethe-Universität; E J Brill,Leiden :,1967-2015.,"Arabic literature--Bio-bibliography.; Manuscripts, Arabic--Catalogs.; Civilization, Arab--Manuscripts--Catalogs.; Civilization, Arab--Sources--Bibliography.; Islamic Empire--History--Sources--Bibliography.; Islamic Empire--History--Manuscripts--Catalogs.; Literature--history; Medicine, Arabic--history; Bibliography; Arabic literature; Civilization, Arab--Manuscripts; Civilization, Arab--Sources; History--Sources; Manuscripts; Manuscripts, Arabic; Islamic Empire; bibliographies.; Bibliographies; Bio-bibliography; Catalogs; History; Literatuur.; Arabic literature--History and criticism.; Arabic literature--Bibliography.; Littérature arabe--biobibliographie.; Civilisation arabe--manuscrits--catalogues.; Civilisation arabe--sources--bibliographie.; Manuscrits arabes--catalogues.; Empire islamique--histoire--sources--bibliographie.; Empire islamique--histoire--manuscrits--catalogues.; Bibliographies.; Abbasid Caliphate.; Umayyad Caliphate.; Littérature arabe--Biobibliographie.; Manuscrits arabes--Catalogues.; Civilisation arabe--Manuscrits--Catalogues.; Civilisation arabe--Sources--Bibliographie.",http://vocab.getty.edu/tgn/6000008; http://vocab.getty.edu/tgn/8711885,,0,Bd.17,,,,2024-06-11,2024-06-11
31154068975430,Book,,DS554.98.A5 J45 1991,NYU ISAW Offsite,Offsite Collection,9998667227607876,Angkor and the Khmers : brutality and grace : Cambodia from 9 to 13 century : an unknown civilization introducing itself /,9637592059; 9789637592058,,"Jelen, János.",Gutenberg Pub and Printing; The Authors,Budapest :,1991.,"Angkor Wat (Angkor)--Pictorial works.; Khmer (Southeast Asian people)--Antiquities.; Art, Khmer.; Temples--Cambodia.; Cambodia--Antiquities.; Cambodia--Civilization.; Angkor Wat (Angkor); Antiquities; Art, Khmer; Civilization; Khmer (Southeast Asian people)--Antiquities; Temples; Cambodia; Illustrated works; Beeldende kunsten.; Angkor.; Angkor Wat.; Cambodia.; Angkor Vat (Angkor)--Ouvrages illustrés.; Art khmer.",https://pleiades.stoa.org/places/531398484; https://pleiades.stoa.org/places/835369289; http://vocab.getty.edu/tgn/1000109,https://id.oclc.org/worldcat/entity/E39PBJg4r3TCfqyp68WTMRDH4q;,0,,Bunker,,,2024-06-24,2025-02-11
31154068975448,Book,,G93 .I74 v.293-294,NYU Inst Study Ancient World,Small Collection,9998670030207876,Litteratur der Türken /,3829812582; 9783829812580; 3829812590; 9783829812597,,"Toderini, Giambattista, 1728-1799, author.",Institute for the History of Arabic-Islamic Science at the Johann Wolfgang Goethe University Frankfurt am Main,Frankfurt :,2008.,Turkey--Early works to 1800.; Turkey; Early works; Asia Minor.; Turkey.; Asie Mineure--Ouvrages avant 1800.,https://pleiades.stoa.org/places/837; https://vocab.getty.edu/tgn/1000144;,https://id.oclc.org/worldcat/entity/E39PBJxmHG9jJjCTM3y4pFRqcP;,0,v.293:2008,,,,2024-06-25,2024-06-25
31154068975455,Book,,G93 .I74 v.293-294,NYU Inst Study Ancient World,Small Collection,9998670030207876,Litteratur der Türken /,3829812582; 9783829812580; 3829812590; 9783829812597,,"Toderini, Giambattista, 1728-1799, author.",Institute for the History of Arabic-Islamic Science at the Johann Wolfgang Goethe University Frankfurt am Main,Frankfurt :,2008.,Turkey--Early works to 1800.; Turkey; Early works; Asia Minor.; Turkey.; Asie Mineure--Ouvrages avant 1800.,https://pleiades.stoa.org/places/837; https://vocab.getty.edu/tgn/1000144;,https://id.oclc.org/worldcat/entity/E39PBJxmHG9jJjCTM3y4pFRqcP;,0,v.294:2008,,,,2024-06-25,2024-06-25
31154068975463,Book,,G93 .I74 v.295 2008,NYU Inst Study Ancient World,Small Collection,9998670030107876,"The history of the conquest of Egypt, North Africa and Spain, known as Futūḥ Miṣr /",3829812604; 9783829812603,,"Ibn ʻAbd al-Ḥakam, -870 or 871.",Institute for the History of Arabic-Islamic Science at the Johann Wolfgang Goethe University,Frankfurt am Main :,2008.,"Egypt--History--640-1250--Early works to 1800.; Africa, North--History--647-1517--Early works to 1800.; Spain--History--711-1516--Early works to 1800.; North Africa; Egypt; Spain; 640-1517; History; Early works; Ancient Egypt (region); Africa (region); Tarraconensis.; Umayyad Caliphate.; North Africa.; Egypt.; Égypte--Histoire--640-1250--Ouvrages avant 1800.; Afrique du Nord--Histoire--647-1517--Ouvrages avant 1800.",https://pleiades.stoa.org/places/981503; https://pleiades.stoa.org/places/775; https://pleiades.stoa.org/places/981551; http://vocab.getty.edu/tgn/8711885; http://vocab.getty.edu/tgn/7016886; http://vocab.getty.edu/tgn/7016833;,https://id.oclc.org/worldcat/entity/E39QbtfRDwpX7XgppvP7ww3J9c; https://id.oclc.org/worldcat/entity/E39PBJqFTrvj6Mhw6JfTGmqJDq;,0,,,,,2024-06-25,2024-06-25
31154068975471,Book,,G93 .I74 v.296 2008,NYU Inst Study Ancient World,Small Collection,9998670029907876,Ibn 'Abdalhakam (d. 257/871) and the Futūḥ Miṣr : texts and studies /,3829812612; 9783829812610,,,Institute for the History of Arabic-Islamic Science at the Johann Wolfgang Goethe University Frankfurt am Main,Frankfurt am Main :,2008.,"Islamic countries--Geography.; Geography; Islamic countries; Ausbreitung; Islam; Ibn-ʻAbd-al-Ḥakam, ʻAbd-ar-Raḥmān Ibn-ʻAbdallāh.; Futūḥ Miṣr wa-'l-Maġrib.; Umayyad Caliphate.; Muslim world.; Ibn ʻAbd al-Ḥakam,--d. 870 or 71.--Futūḥ Miṣr wa-al-Maghrib.; Pays musulmans--Géographie.",http://vocab.getty.edu/tgn/8711885;,https://www.wikidata.org/entity/Q779924;,0,,,,,2024-06-25,2024-06-25
