id,mms_id,call_number,title,date_acquired,Author,Publisher,Publication Date,Subjects
31154069010625,9998789467407876,DS171 .B36,Banber Matenadarani /,2026-03-20,,Haykakan SSR gitutʻyunneri akademiayi hratarakchʻutʻyun,1956-,"Armenia--Civilization--Periodicals.; Manuscripts, Armenian--Periodicals.; Civilization.; Manuscripts, Armenian.; Armenia.; Periodicals."
31154068978186,9998788041707876,DS795.4.T864 L8953 2025,Lu Xian gu cheng cheng zhi kao gu kan tan bao gao /,2026-03-16,,Ke xue chu ban she,2025.,"Tongzhou Qu (Beijing, China)--Antiquities.; Luxian site."
31154068978202,9998786554707876,HF3770.6 .A93 2025,The warehouse of Bamiyan : economic life in medieval Afghanistan /,2026-03-03,"Azad, Arezou, 1970- author.",Edinburgh University Press,[2025],"Commerce--History--Medieval, 500-1500.; Warehouses--History.; Bāmyān (Afghanistan)--Commerce--History.; Bāmyān (Afghanistan)--Economic conditions--History.; Bamiyan.; Commerce--Histoire--500-1500 (Moyen Âge); Entrepôts--Histoire."
31154068978210,9998786553107876,DS715 .Z46644 2024,Zhongguo kao gu fa jue bao gao ti yao /,2026-03-03,,Zhongguo wen shi chu ban she,2024.,China--Antiquities.; Excavations (Archaeology)--China--History.; Imperial China.; Ancient China.; Chine--Antiquités.
31154068978228,9998786553107876,DS715 .Z46644 2024,Zhongguo kao gu fa jue bao gao ti yao /,2026-03-03,,Zhongguo wen shi chu ban she,2024.,China--Antiquities.; Excavations (Archaeology)--China--History.; Imperial China.; Ancient China.; Chine--Antiquités.
31154068978236,9998786553107876,DS715 .Z46644 2024,Zhongguo kao gu fa jue bao gao ti yao /,2026-03-03,,Zhongguo wen shi chu ban she,2024.,China--Antiquities.; Excavations (Archaeology)--China--History.; Imperial China.; Ancient China.; Chine--Antiquités.
31154068978244,9998786553107876,DS715 .Z46644 2024,Zhongguo kao gu fa jue bao gao ti yao /,2026-03-03,,Zhongguo wen shi chu ban she,2024.,China--Antiquities.; Excavations (Archaeology)--China--History.; Imperial China.; Ancient China.; Chine--Antiquités.
31154068978251,9998786553107876,DS715 .Z46644 2024,Zhongguo kao gu fa jue bao gao ti yao /,2026-03-03,,Zhongguo wen shi chu ban she,2024.,China--Antiquities.; Excavations (Archaeology)--China--History.; Imperial China.; Ancient China.; Chine--Antiquités.
31154068978269,9998786553107876,DS715 .Z46644 2024,Zhongguo kao gu fa jue bao gao ti yao /,2026-03-03,,Zhongguo wen shi chu ban she,2024.,China--Antiquities.; Excavations (Archaeology)--China--History.; Imperial China.; Ancient China.; Chine--Antiquités.
31154068978277,9998786553107876,DS715 .Z46644 2024,Zhongguo kao gu fa jue bao gao ti yao /,2026-03-03,,Zhongguo wen shi chu ban she,2024.,China--Antiquities.; Excavations (Archaeology)--China--History.; Imperial China.; Ancient China.; Chine--Antiquités.
31154068978285,9998786553107876,DS715 .Z46644 2024,Zhongguo kao gu fa jue bao gao ti yao /,2026-03-03,,Zhongguo wen shi chu ban she,2024.,China--Antiquities.; Excavations (Archaeology)--China--History.; Imperial China.; Ancient China.; Chine--Antiquités.
31154068978293,9998786553107876,DS715 .Z46644 2024,Zhongguo kao gu fa jue bao gao ti yao /,2026-03-03,,Zhongguo wen shi chu ban she,2024.,China--Antiquities.; Excavations (Archaeology)--China--History.; Imperial China.; Ancient China.; Chine--Antiquités.
31154068978301,9998786553107876,DS715 .Z46644 2024,Zhongguo kao gu fa jue bao gao ti yao /,2026-03-03,,Zhongguo wen shi chu ban she,2024.,China--Antiquities.; Excavations (Archaeology)--China--History.; Imperial China.; Ancient China.; Chine--Antiquités.
31154068978319,9998786553107876,DS715 .Z46644 2024,Zhongguo kao gu fa jue bao gao ti yao /,2026-03-03,,Zhongguo wen shi chu ban she,2024.,China--Antiquities.; Excavations (Archaeology)--China--History.; Imperial China.; Ancient China.; Chine--Antiquités.
31154068978327,9998786553107876,DS715 .Z46644 2024,Zhongguo kao gu fa jue bao gao ti yao /,2026-03-03,,Zhongguo wen shi chu ban she,2024.,China--Antiquities.; Excavations (Archaeology)--China--History.; Imperial China.; Ancient China.; Chine--Antiquités.
31154068978335,9998786553107876,DS715 .Z46644 2024,Zhongguo kao gu fa jue bao gao ti yao /,2026-03-03,,Zhongguo wen shi chu ban she,2024.,China--Antiquities.; Excavations (Archaeology)--China--History.; Imperial China.; Ancient China.; Chine--Antiquités.
31154068978343,9998786553107876,DS715 .Z46644 2024,Zhongguo kao gu fa jue bao gao ti yao /,2026-03-03,,Zhongguo wen shi chu ban she,2024.,China--Antiquities.; Excavations (Archaeology)--China--History.; Imperial China.; Ancient China.; Chine--Antiquités.
31154068978350,9998786553107876,DS715 .Z46644 2024,Zhongguo kao gu fa jue bao gao ti yao /,2026-03-03,,Zhongguo wen shi chu ban she,2024.,China--Antiquities.; Excavations (Archaeology)--China--History.; Imperial China.; Ancient China.; Chine--Antiquités.
31154068978368,9998786553107876,DS715 .Z46644 2024,Zhongguo kao gu fa jue bao gao ti yao /,2026-03-03,,Zhongguo wen shi chu ban she,2024.,China--Antiquities.; Excavations (Archaeology)--China--History.; Imperial China.; Ancient China.; Chine--Antiquités.
31154068978376,9998786553107876,DS715 .Z46644 2024,Zhongguo kao gu fa jue bao gao ti yao /,2026-03-03,,Zhongguo wen shi chu ban she,2024.,China--Antiquities.; Excavations (Archaeology)--China--History.; Imperial China.; Ancient China.; Chine--Antiquités.
31154068978384,9998786551407876,DS62 .A87 2025,"Assyriology, anthropology and theory : analytical perspectives and interpretive prospects /",2026-03-03,,Zaphon,2025.,Assyriology--History.; Assyriology--Historiography.; Physical anthropology.; Middle East--History.; Middle East--Historiography.; physical anthropology.; Assyriology; Historiography; Physical anthropology; Middle East; History; Middle East.; Assyriologie--Histoire.; Assyriologie--Historiographie.; Anthropologie physique.; Moyen-Orient--Histoire.
31154068978392,9998718149407876,DS795.4.F364 G836 2023,Guangyangcheng mu di /,2026-03-03,,Shanghai gu ji chu ban she,2023-,"Fangshan Qu (Beijing, China)--Antiquities.; Excavations (Archaeology)--China--Beijing.; Fangshan.; Guangyangcheng burial site.; Fouilles (Archéologie)--Chine--Pékin."
31154068978400,9998718149407876,DS795.4.F364 G836 2023,Guangyangcheng mu di /,2026-03-03,,Shanghai gu ji chu ban she,2023-,"Fangshan Qu (Beijing, China)--Antiquities.; Excavations (Archaeology)--China--Beijing.; Fangshan.; Guangyangcheng burial site.; Fouilles (Archéologie)--Chine--Pékin."
31154068978418,9998718149407876,DS795.4.F364 G836 2023,Guangyangcheng mu di /,2026-03-03,,Shanghai gu ji chu ban she,2023-,"Fangshan Qu (Beijing, China)--Antiquities.; Excavations (Archaeology)--China--Beijing.; Fangshan.; Guangyangcheng burial site.; Fouilles (Archéologie)--Chine--Pékin."
31154068978426,9998711268507876,DS793.Y3 S26953 2022,San Xia hou xu kao gu fa xian = SanXia houxu kaogu faxian /,2026-03-04,,Sichuan da xue chu ban she,2022-,"Excavations (Archaeology)--China--Yangtze River Gorges.; Yangtze River Gorges (China)--Antiquities--Pictorial works.; Antiquities; Excavations (Archaeology); China--Yangtze River Gorges; Three Gorges Project.; Fouilles (Archéologie)--Chine--Yangzi jiang, Gorges du."
31154068978434,9998788048507876,PL2448 .S37 2024,Shandong Dingtao wang ling chu tu zhuan wen cui bian /,2026-03-13,"Shandong Sheng wen wu kao gu yan jiu yuan, issuing body.",Shanghai shu hua chu ban she,2024.,"Ding,--Tai hou,---5 B.C.--Tomb--Catalogs.; Inscriptions, Chinese--China--Heze Shi--Catalogs.; Calligraphy, Chinese--China--Heze Shi--Catalogs.; Bricks--China--Heze Shi--Catalogs.; Dingtao Qu (Heze Shi, China)--Catalogs.; China--History--Han dynasty, 202 B.C.-220 A.D.; catalogs (documents); Catalogs.; Catalogues.; Tombs of Dingtao King.; Chine--Histoire--202 av. J.-C.-220 (Dynastie des Han)"
31154068978442,9998787744007876,NB140 .K35 2025,Kalorësi i Babunjës = The equestrian figurine of Babunja /,2026-03-16,,Verlag des Naturhistorischen Museums Wien,2025,"Bronze sculpture, Ancient--Albania--Exhibitions.; Bronze sculpture, Ancient--Conservation and restoration.; Albania--Antiquities--Exhibitions.; Babunja.; Sculpture en bronze antique--Albanie--Expositions.; Sculpture en bronze antique--Conservation et restauration.; Albanie--Antiquités--Expositions."
