id,Material Type,Process Type,call_number,Library Name,Location Name,mms_id,title,ISBN,ISSN,Author,Publisher,Publication Place,Publication Date,Subjects,651$$0,651$$1,Num of Loans Including Pre-Migration (In House),Description,Internal Note 1,Internal Note 2,Internal Note 3,date_acquired,Item Modification Date
31154068975729,Book,,DS35.65 .I74 v.2-3,NYU Inst Study Ancient World,Small Collection,9998766460307876,Das Leben Muhammed's = Kitāb Sīrat Rasūl Allāh /,3829822022; 9783829822022; 3829822030; 9783829822039; 3829822049; 9783829822046,,"Ibn Hishām, ʻAbd al-Malik, -834.",Institut für Geschichte der Arabisch-Islamischen Wissenschaften,Frankfurt :,2012.,"Muḥammad,--Prophet,---632--Biography--Early works to 1800.; Arabia.; Mahomet,--le prophète,---632--Biographie--Ouvrages avant 1800.",https://pleiades.stoa.org/places/29475,,0,v.3:2012,,,,2025-11-19,2025-11-19
31154068975752,Book,,DS35.65 .I74 v.6 2012,NYU Inst Study Ancient World,Small Collection,9998766859507876,The beginnings of Arabic historiography : texts and studies /,3829822073; 9783829822077,,,Institute for the History of Arabic-Islamic Science at the Johann Wolfgang Goethe University,Frankfurt am Main :,2012.,Islamic civilization.; Islam--Historiography.; Middle East--Historiography.; Historians--Middle East.; Umayyad Caliphate.; Abbasid Caliphate.; Civilisation islamique.,http://vocab.getty.edu/tgn/8711885; http://vocab.getty.edu/tgn/6000008,,0,,,,,2025-11-25,2025-11-25
31154068975828,Book,,"DS35.65 .I74 v.13, etc.",NYU Inst Study Ancient World,Small Collection,9998766859707876,"The origins of the Islamic state : being a translation from the Arabic, accompanied with annotations, geographic and historic notes of the Kitâb futûh al-buldân of al-Imâm abu-l Abbâs Ahmad ibn-Jâbir al-Balâdhuri,",3829822154; 9783829822152; 3829822162; 9783829822169,,"Balādhurī, Aḥmad ibn Yaḥyá, -892, author.",Institute for the History of Arabic-Islamic Science at the Johann Wolfgang Goethe University,Frankfurt am Main :,2014,Islamic Empire--History.; Muslims.; Rashidun Caliphate.; Umayyad Caliphate.; Musulmans.,http://vocab.getty.edu/tgn/8698196; http://vocab.getty.edu/tgn/8711885,,0,v.13:2014,,,,2025-11-24,2025-12-09
31154068975836,Book,,"DS35.65 .I74 v.13, etc.",NYU Inst Study Ancient World,Small Collection,9998766859707876,"The origins of the Islamic state : being a translation from the Arabic, accompanied with annotations, geographic and historic notes of the Kitâb futûh al-buldân of al-Imâm abu-l Abbâs Ahmad ibn-Jâbir al-Balâdhuri,",3829822154; 9783829822152; 3829822162; 9783829822169,,"Balādhurī, Aḥmad ibn Yaḥyá, -892, author.",Institute for the History of Arabic-Islamic Science at the Johann Wolfgang Goethe University,Frankfurt am Main :,2014,Islamic Empire--History.; Muslims.; Rashidun Caliphate.; Umayyad Caliphate.; Musulmans.,http://vocab.getty.edu/tgn/8698196; http://vocab.getty.edu/tgn/8711885,,0,v.14:2014,,,,2025-11-24,2025-12-09
31154068975869,Book,,Q127.I74 I74 v.115 2020,NYU Inst Study Ancient World,Small Collection,9998766859607876,Two treatises on the astrolabe by Abu Rayhan Biruni (d. ca. 1050) /,3829841256; 9783829841252; 3829841252,,"Bīrūnī, Muḥammad ibn Aḥmad, 973?-1048.",Institute for the History of Arabic-Islamic Science at the Johann Wolfgang Goethe University,Frankfurt am Main :,2020.,"Astrolabes--Early works to 1800.; Astronomy, Arab--Sources.; Astrolabes; Early works; Abbasid Caliphate.; Astrolabes--Ouvrages avant 1800.; Astronomie arabe--Sources.",http://vocab.getty.edu/tgn/6000008,,0,,,,,2025-11-25,2025-11-25
31154068977949,Book,,PA3202 .S86 1988,NYU Inst Study Ancient World,Small Collection,9998765160307876,Dionysiakoi technitai : symvoles stēn prosōpographia tou theatrou kai tēs mousikēs tōn archaiōn Hellēnōn /,,,"Stephanēs, I. E., author.",Panepistēmiakes Ekdoseis Krētēs,Hērakleio :,1988.,Entertainers--Greece--Registers.; Theater--Greece--History--To 500--Sources.; Entertainers; Theater; Greece; To 500; History; Registers (Lists); Sources; Greece (ancient); Artistes du spectacle--Grèce--Registres.; Théâtre--Grèce--Histoire--Jusqu'à 500--Sources.,http://vocab.getty.edu/tgn/7594735,https://id.oclc.org/worldcat/entity/E39PBJxd6hw8HtWYq9JY6hjjYP;,0,,,,,2025-11-12,2025-11-12
31154068977956,Book,,PJ3870 .A75 2025,NYU Inst Study Ancient World,Large Collection,9998765660307876,Old Babylonian texts in the Schøyen collection.,9783963273148; 3963273143; 9783963273155; 3963273151,,"Arkhipov, Ilya, author.",Zaphon,Münster :,2025.,Schøyen Collection--Catalogs.; Cuneiform tablets--Catalogs.; Babylonia--Commerce--Sources.; Babylonia--Antiquities--Catalogs.; Akkadian language--Texts.; Babylonia.; Larsa.; Isin.; Tablettes cunéiformes--Catalogues.; Akkadien (Langue)--Textes.,https://pleiades.stoa.org/places/912816; https://pleiades.stoa.org/places/912897; https://pleiades.stoa.org/places/912868,,0,,,,,2025-11-13,2025-11-13
31154068977964,Book,,DS286.3 .S67 1953a,NYU Inst Study Ancient World,Small Collection,9998765654907876,"Third century Iran, Sapor and Kartir /",,,"Sprengling, Martin, 1877-1959, author.",The Institute,Chicago :,1953.,"Sassanids.; Iran--History--To 640.; Rome--History--Period of military anarchy, 235-284.; Inscriptions--Iran.; Kartīr,--active 250-293; Shāpūr--I,--King of Iran,---272; Inscriptions; Sassanids; Iran; Rome (Empire); To 640; History; Sasanian Empire.; Shāpūr--I,--King of Iran,---272.; Kartīr,--active 250-293.; Sassanides.; Iran--Histoire--Jusqu'à 651.; Rome--Histoire--235-284 (Anarchie militaire)",http://vocab.getty.edu/tgn/6005268;,https://id.oclc.org/worldcat/entity/E39PBJtrYvcVTwChrDqytBvJXd;,0,,Garsoian,,,2025-11-17,2025-11-17
31154068977972,Book,,DF287.A23 A5 vol.35 2013,NYU Inst Study Ancient World,Oversize Collection,990040225390107876,Funerary sculpture /,0876612354; 9780876612354,,"Grossman, Janet Burnett, 1943- author.",The American School of Classical Studies at Athens,"Princeton, New Jersey :",2013.,"Antiquities; Sculpture, Greek; Sepulchral monuments; Greece; Greece--Athens; Greece--Athens--Agora; catalogs (documents); Catalogs; Catalogs.; Sepulchral monuments--Greece--Catalogs.; Agora (Athens, Greece)--Catalogs.; Sculpture, Greek--Catalogs.; Athens (Greece)--Antiquities--Catalogs.; Greece--Antiquities--Catalogs.; Agora of Athens.; Catalogues.; Agora (Athènes, Grèce)--Catalogues.; Sculpture grecque--Catalogues.; Grèce--Antiquités--Catalogues.",https://pleiades.stoa.org/places/807514119;,https://id.oclc.org/worldcat/entity/E39PBJxd6hw8HtWYq9JY6hjjYP; https://id.oclc.org/worldcat/entity/E39PBJyCyjWmm7b6fkX6kQQXh3;,0,,,,,2025-11-19,2025-11-19
31154068977980,Book,,DF287.A23 A5 vol.25 1990,NYU Inst Study Ancient World,Oversize Collection,990019152540107876,Ostraka /,9780876612255; 0876612257,,"Lang, Mabel L., 1917-2010.",American School of Classical Studies at Athens,"Princeton, N.J. :",1990.,"Ostraka--Catalogs.; Athens (Greece)--Antiquities--Catalogs.; Agora (Athens, Greece)--Antiquities--Catalogs.; Athens (Greece)--Politics and government--Sources--Catalogs.; Politicians--Greece--Athens--Biography.; Exiles--Greece--Athens--Biography.; Politicians--Greece--Athens.; Athens; Greece; Biography; Antiquities; Exiles; Ostraka; Political crimes and offenses; Politics and government--Sources; Politicians; Greece--Athens; Greece--Athens--Agora; collective biographies.; Biographies; Catalogs; Ostrakon; Agora; Athen; Ostraka--Texts.; Political crimes and offenses--Greece--Athens--Sources.; Agora (Athens, Greece)--Antiquities.; Athens (Greece)--Politics and government--Sources.; Agora of Athens.; Ostraca.; Athènes (Grèce)--Agora.; Biographies.; Political crimes and offenses--Greece--Athens.; Ostraca--Catalogues.; Crimes et délits politiques--Grèce--Athènes.; Politiciens--Grèce--Athènes.; Exilés--Grèce--Athènes--Biographies.; Agora (Athènes, Grèce)--Antiquités--Catalogues.; Athènes (Grèce)--Antiquités--Catalogues.; Athènes (Grèce)--Politique et gouvernement--Sources--Catalogues.; Politiciens--Grèce--Athènes--Biographies.",https://pleiades.stoa.org/places/807514119;,https://id.oclc.org/worldcat/entity/E39PBJyCyjWmm7b6fkX6kQQXh3;,0,,,,,2025-11-19,2025-11-19
