id,Material Type,Process Type,call_number,Library Name,Location Name,mms_id,title,ISBN,ISSN,Author,Publisher,Publication Place,Publication Date,Subjects,651$$0,651$$1,Num of Loans Including Pre-Migration (In House),Description,Internal Note 1,Internal Note 2,Internal Note 3,date_acquired,Item Modification Date
31154062348816,Issue,,DK5071 .K87,NYU Inst Study Ancient World,Oak Collection,9998684698507876,Kurgany stepnogo podneprovʹi͡a : sbornik nauchnykh trudov.,,,,DGU,Dnepropetrovsk :,1977-,Mounds--Dnieper-Donets Basin (Ukraine and Russia)--Periodicals.; Excavations (Archaeology)--Dnieper-Donets Basin (Ukraine and Russia)--Periodicals.; Dnieper-Donets Basin (Ukraine and Russia)--Antiquities--Periodicals.; Prydniprovs'ka Vysochyna.; Donets Basin.,http://vocab.getty.edu/tgn/1110846; http://vocab.getty.edu/tgn/8712642,,0,vyp.4(1980),Leskov,,,2024-10-23,2024-10-23
31154068976040,Book,,GN778.2.K87 I58 2021,NYU Inst Study Ancient World,Large Collection,9998683304407876,The end of the Kura-Araxes phenomenon : the chrono-cultural aspect of the EB/MB transition in the South Caucasus /,9782503606736; 2503606733,,"International Conference ""The End of the Kura-Araxes Phenomenon and the EB/MB Transition in the South Caucasus Online), (2021 : author.",Brepols,Turnhout :,[2024],"Kura-Araxes culture--Caucasus, South--Congresses.; Bronze age--Caucasus, South--Congresses.; Excavations (Archaeology)--Caucasus, South--Congresses.; Caucasus, South--Antiquities--Congresses.; Lesser Caucasus.; Culture de Kouro-Araxe--Transcaucasie--Congrès.; Âge du bronze--Transcaucasie--Congrès.; Fouilles (Archéologie)--Transcaucasie--Congrès.; Transcaucasie--Antiquités--Congrès.",http://vocab.getty.edu/tgn/1109316;,,0,,,,,2024-10-02,2024-10-02
31154068976057,Book,,GN492.3 .P657 2024,NYU ISAW Offsite,Offsite Collection,9998683302507876,"Pomp, circumstance, and the performance of politics : acting politically correct in the ancient world /",1614911061; 9781614911067; 9781614911081; 1614911088; 9781614911074; 161491107X,,,Institute for the Study of Ancient Cultures of the University of Chicago,Chicago :,[2024],Political customs and rites--History.; Middle East--Social life and customs.; Political customs and rites--History--Congresses.; Middle East.; Mœurs politiques--Histoire--Congrès.; Mœurs politiques--Histoire.,http://vocab.getty.edu/tgn/7001526,,0,,,,,2024-10-03,2025-02-11
31154068976065,Book,,GN635.T82 P46 2019,NYU Inst Study Ancient World,Large Collection,9998683302407876,"People of Anatolia : past, current and future research in the biological anthropology of Türkiye /",1912090104; 9781912090105,,"Physical Anthropology in Anatolia (Workshop) Ankara, Turkey) (2019 :",British Institute at Ankara,London :,©2024,Human remains (Archaeology)--Turkey--Congresses.; Turkey--Population--History--To 1500--Congresses.; Asia Minor.; Turkey.,https://pleiades.stoa.org/places/837; https://vocab.getty.edu/tgn/1000144,,0,,,,,2024-10-03,2024-10-03
31154068976073,Book,,CC101.A9 A73 2024,NYU ISAW Offsite,Offsite Collection,9998683302307876,Archäologie und Republik : Reflexionen zur Archäologie in Österreich in der Ersten und Zweiten Republik /,3700193165; 9783700193166; 9783700193173; 3700193173,,,Verlag der österreichischen Akademie der Wissenschaften,Wien :,[2024],Archaeology--Austria--History--20th century.; Austria.; Archéologie--Autriche--Histoire--20e siècle.,http://vocab.getty.edu/tgn/1000062,,0,,,,,2024-10-03,2025-02-11
31154068976081,Book,,DT135.N8 B38 1963,NYU Inst Study Ancient World,Oversize Collection,990020137450107876,Eine frühdynastische Abri-Siedlung mit Felsbildern aus Sayala-Nubien /,,,"Bietak, Manfred.",Kommissionsverlag der Österreichischen Akademie der Wissenschaften; H Böhlaus Nachf,Wien :,1963.,Nubia--Antiquities.; Sayyālah (Egypt); Caves--Egypt--Sayyālah.; Antiquities; Caves; Africa--Nubia; Egypt--Sayyālah; Prehistoric peoples--Egypt--Sayyālah.; Sayyālah (Egypt)--Antiquities.; Nobatae.; Sayyālah.,https://pleiades.stoa.org/places/795835; http://vocab.getty.edu/tgn/7540423,https://id.oclc.org/worldcat/entity/E39QbtfRpV4PqWgCfMh3CcMgfY;,0,,,,,2024-10-03,2024-10-03
31154068976099,Book,,BS621 .M396 2024,NYU Inst Study Ancient World,Small Collection,9998684725107876,"Stolen fragments : black markets, bad faith, and the illicit trade in ancient artefacts /",1503632504; 9781503632509; 9781503640320; 1503640329,,"Mazza, Roberta, author.",Redwood Press,"Stanford, California :",[2024],Museum of the Bible.; Bible Antiquities Collectors and collecting Moral and ethical aspects.; Manuscripts (Papyri)--Collectors and collecting--Moral and ethical aspects.; Manuscript fragments--Collectors and collecting--Moral and ethical aspects.; Christian antiquities--Collectors and collecting--Moral and ethical aspects.; Archaeological thefts--Moral and ethical aspects.; Informational works.; Ancient Egypt (region); Documents d'information.; Bible Antiquités Collectionneurs et collections Aspect moral.; Fragments de manuscrit--Collectionneurs et collections--Aspect moral.; Antiquités chrétiennes--Collectionneurs et collections--Aspect moral.; Vol d'antiquités--Aspect moral.,https://pleiades.stoa.org/places/981503,,1,,,,,2024-10-09,2024-10-09
31154068976107,Book,,DS73.7 .K35 2024,NYU Inst Study Ancient World,Large Collection,9998683321607876,From Memphis to Babylon : African individuals and groups in texts from Chaldean and Achaemenid Babylonia /,3963272627; 9783963272622; 9783963272639; 3963272635; 9789521095108; 9521095105,,"Karlsson, Mattias, 1973- author.",Zaphon,Münster :,2024.,"Mesopotamia Antiquities.; Africans--Iraq--Babylonia--Antiquities.; Assyrians--Iraq--Babylonia--Antiquities.; Africans--Middle East--Antiquities.; Assyrians--Middle East--Antiquities.; Africans--Antiquities, Byzantine.; Africans--Egypt--Antiquities.; Assyrians--Antiquities.; Babylonia.; Achaemenid Empire.; Africains--Antiquités byzantines.",https://pleiades.stoa.org/places/912816; http://vocab.getty.edu/tgn/6000039,,0,,,,,2024-10-10,2024-10-10
31154068976115,Book,,BT1410 .V37 2024,NYU Inst Study Ancient World,Large Collection,9998684724707876,Varia Manichaica /,2503604269; 9782503604268,,,Brepols,"Turnhout, Belgium :",[2024],"Manichaeism--Sources.; Manuscripts, Manichaean.; Manichaean script.; Sasanian Empire.; Central Asia.; Manichéisme--Sources.; Manuscrits manichéens.",http://vocab.getty.edu/tgn/6005268; http://vocab.getty.edu/tgn/8697475,,0,,,,,2024-10-10,2024-10-10
31154068976123,Book,,DJK66 .B87 2024,NYU Inst Study Ancient World,Small Collection,9998684724307876,Greece's northern frontier : studies in the history of the ancient Greek experience in the Black sea /,9789042950603; 9042950609,,"Burstein, Stanley Mayer, author.",Peeters,Leuven :,2024.,"Black Sea Coast--History.; Greeks--Black Sea Coast.; Pontus Euxinus.; Noire, Côte de la mer--Histoire.; Grecs--Noire, Côte de la mer.",https://pleiades.stoa.org/places/1224;,,0,,,,,2024-10-10,2024-10-10
