id,Material Type,Process Type,call_number,Library Name,Location Name,mms_id,title,ISBN,ISSN,Author,Publisher,Publication Place,Publication Date,Subjects,651$$0,651$$1,Num of Loans Including Pre-Migration (In House),Description,Internal Note 1,Internal Note 2,Internal Note 3,date_acquired,Item Modification Date
31154062344211,Book,In Process,NB1880.R9 C45 1972,NYU Inst Study Ancient World,Large Collection,9998748309707876,"Khandisi : problema relʹefa na primere odnoĭ gruppy gruzinskikh stel posledneĭ chetverti V veka, VI i pervoĭ poloviny VII veka /",,,"Chubinashvili, Niko.",Met͡sniereba,Tbilisi :,1972.,Sepulchral monuments--Georgia (Republic); Symbolism in art.; reliefs (sculptures); Sepulchral monuments; Symbolism in art; Georgia (Republic); Georgia.; Relief (Sculpture); Symbolisme dans l'art.,http://vocab.getty.edu/tgn/7006653,https://id.oclc.org/worldcat/entity/E39PBJtRMHxc6jDdXPVCXhmmVC;,0,,Garsoian,,,2025-09-05,2025-09-09
31154068977683,Book,,NX650.E35 M37 2024,NYU Inst Study Ancient World,Small Collection,9998748319007876,Translatio imaginis triumphalis : elephant in the iconography of power from antiquity to the early Modern Age /,9533790970; 9789533790978,,"Maraković, Nikolina, author.",FF Press,Zagreb :,2024.,Elephants--Rome--History--To 1500.; Elephants--Greece--History--To 1500.; Elephants in art--History--To 1500.; Alexandrian Empire.; Roman Empire.,http://vocab.getty.edu/tgn/6000169; http://vocab.getty.edu/tgn/7030347,,0,,,,,2025-09-03,2025-09-03
31154068977691,Book,,DF261.I34 I25 2024,NYU Inst Study Ancient World,Large Collection,9998748583307876,Ialiso II : Athanaiai dekatan : il santuario di Athana Polias a Ialysos (Rodi) /,9609559395; 9789609559393; 9609559409; 9789609559409; 9609559417; 9789609559416,,,Scuola archeologica italiana di Atene,"Atene, Grecia :",2024.,"Temple of Athena Polias (Rhodes, Greece); Excavations (Archaeology)--Greece--Ialysos (Extinct city); Temples--Greece--Ialysos (Extinct city); Ialysos (Extinct city)--Buildings, structures, etc.; Rhodes (Greece : Island)--Antiquities.; Ialysos.",https://pleiades.stoa.org/places/589815,,0,plates,,,,2025-09-08,2025-09-08
31154068977709,Book,,DS109.28 .G55 2025,NYU Inst Study Ancient World,Large Collection,9998684701607876,Final report of excavations on the hill of the Ophel by R.A.S. Macalister and J. Garrow Duncan 1923-1925 : catalogue and examination of the finds in the collections of the Palestine Exploration Fund /,1032561777; 9781032561776; 1032561807; 9781032561806; 9781003434245; 100343424X,,"Gilmour, Garth Hugh, author.",Routledge Taylor & Francis Group,"Abingdon, Oxon ; New York, NY :",2025.,"Macalister, Robert Alexander Stewart,--1870-1950.; Duncan, J. Garrow--(John Garrow),--1872-1951.; Excavations (Archaeology)--Jerusalem.; Jerusalem--Antiquities.; Ophel (Jerusalem)--Antiquities.; Fouilles (Archéologie)--Jérusalem.; Jérusalem--Antiquités.",,,0,,White-Levy Program,,,2025-09-10,2025-09-10
31154068977717,Book,,NA285.P95 P35 1966,NYU Inst Study Ancient World,Oversize Collection,990022472920107876,The Palace of Nestor at Pylos in western Messenia /,1957454822; 9781957454825,,"Blegen, Carl W. 1887-1971, author. (Carl William),",Published for the University of Cincinnati by Lockwood Press; Published for the University of Cincinnati by Princeton University Press,"[Princeton, N.J.] :",1966-,"Inscriptions, Linear B.; Palace of Nestor (Pylos, Greece); Nestor (Greek mythology)--Palaces.; Architecture, Mycenaean--Greece--Pylos.; Excavations (Archaeology)--Greece--Pylos.; Pylos (Greece)--Palaces.; Pylos (Greece)--Antiquities.; Nestor's Palace.; Palace of Nestor (Pylos, Greece).; Palais de Nestor (Pylos, Grèce); Fouilles (Archéologie)--Grèce--Pylos (Messénie)",https://pleiades.stoa.org/places/156116232,,0,v.4:pt.1:2025,,,,2025-09-18,2025-09-18
31154068977725,Book,,NA285.P95 P35 1966,NYU Inst Study Ancient World,Oversize Collection,990022472920107876,The Palace of Nestor at Pylos in western Messenia /,1957454822; 9781957454825,,"Blegen, Carl W. 1887-1971, author. (Carl William),",Published for the University of Cincinnati by Lockwood Press; Published for the University of Cincinnati by Princeton University Press,"[Princeton, N.J.] :",1966-,"Inscriptions, Linear B.; Palace of Nestor (Pylos, Greece); Nestor (Greek mythology)--Palaces.; Architecture, Mycenaean--Greece--Pylos.; Excavations (Archaeology)--Greece--Pylos.; Pylos (Greece)--Palaces.; Pylos (Greece)--Antiquities.; Nestor's Palace.; Palace of Nestor (Pylos, Greece).; Palais de Nestor (Pylos, Grèce); Fouilles (Archéologie)--Grèce--Pylos (Messénie)",https://pleiades.stoa.org/places/156116232,,0,v.4:pt.2:2025,,,,2025-09-18,2025-09-18
31154068977733,Book,,Loeb Latin Vell. 2024,NYU Inst Study Ancient World,Reference 3 Collection,9998753888207876,Velleius Paterculus /,0674997638; 9780674997639,,"Velleius Paterculus, approximately 19 B.C.-approximately 30 A.D., author.",Harvard University Press,"Cambridge, Massachusetts ; London, England :",2024.,"Rome--History--Julio-Claudians, 30 B.C.-68 A.D.; Rome--History--Kings, 753-510 B.C.; Rome--History--Republic, 265-30 B.C.; Roman Empire.; Rome--Histoire--753-510 av. J.-C. (Rois); Rome--Histoire--265-30 av. J.-C. (République); Rome--Histoire--30 av. J.-C.-68 (Julio-Claudiens)",http://vocab.getty.edu/tgn/7030347;,,0,,,,,2025-09-24,2025-09-24
31154068977741,Book,,Loeb Latin Justin 2024,NYU Inst Study Ancient World,Reference 3 Collection,9998753888007876,Epitome of Pompeius Trogus /,0674997603; 9780674997608; 0674997611; 9780674997615,,"Justinus, Marcus Junianus, author.",Harvard University Press,"Cambridge, Massachusetts ; London, England :",2024.,"Generals--Greece--Biography--Early works to 1800.; Greece--Kings and rulers--Biography--Early works to 1800.; Macedonia--History--To 168 B.C.--Sources.; Greece--History--Macedonian Expansion, 359-323 B.C.--Sources.; Bilingual books.; Philip--II,--King of Macedonia,--382 B.C.-336 B.C.; Alexander,--the Great,--356 B.C.-323 B.C.; Generals--Greece--Biography--Early works to 1800; Greece--Kings and rulers--Biography--Early works to 1800; Macedonia--History--To 168 B.C.--Sources; Greece--History--Macedonian Expansion, 359-323 B.C.--Sources; Alexandrian Empire.; Généraux--Grèce--Biographies--Ouvrages avant 1800.; Macédoine--Histoire--Jusqu'à 168 av. J.-C.--Sources.; Grèce--Histoire--359-323 av. J.-C. (Expansion de la Macédoine)--Sources.",http://vocab.getty.edu/tgn/6000169;,,0,v.1,,,,2025-09-24,2025-09-24
31154068977758,Book,,Loeb Latin Justin 2024,NYU Inst Study Ancient World,Reference 3 Collection,9998753888007876,Epitome of Pompeius Trogus /,0674997603; 9780674997608; 0674997611; 9780674997615,,"Justinus, Marcus Junianus, author.",Harvard University Press,"Cambridge, Massachusetts ; London, England :",2024.,"Generals--Greece--Biography--Early works to 1800.; Greece--Kings and rulers--Biography--Early works to 1800.; Macedonia--History--To 168 B.C.--Sources.; Greece--History--Macedonian Expansion, 359-323 B.C.--Sources.; Bilingual books.; Philip--II,--King of Macedonia,--382 B.C.-336 B.C.; Alexander,--the Great,--356 B.C.-323 B.C.; Generals--Greece--Biography--Early works to 1800; Greece--Kings and rulers--Biography--Early works to 1800; Macedonia--History--To 168 B.C.--Sources; Greece--History--Macedonian Expansion, 359-323 B.C.--Sources; Alexandrian Empire.; Généraux--Grèce--Biographies--Ouvrages avant 1800.; Macédoine--Histoire--Jusqu'à 168 av. J.-C.--Sources.; Grèce--Histoire--359-323 av. J.-C. (Expansion de la Macédoine)--Sources.",http://vocab.getty.edu/tgn/6000169;,,0,v.2,,,,2025-09-24,2025-09-24
31154068977766,Book,,Loeb Latin Cicero v.30 2024,NYU Inst Study Ancient World,Reference 3 Collection,9998753887907876,Fragmentary speeches /,067499762X; 9780674997622,,"Cicero, Marcus Tullius, author.",Harvard University Press,"Cambridge, Massachusetts ; London, England :",2024.,"Cicero, Marcus Tullius.--Speeches.; Rome--Politics and government--265-30 B.C.--Sources.; Speeches, addresses, etc., Latin--History and criticism.; speeches (documents); primary sources.; Speeches.; Primary sources.; Cicero, Marcus Tullius.--Speeches; Speeches, addresses, etc., Latin--History and criticism; Rome--Politics and government--265-30 B.C.; Discours.; Sources.; Roman Empire.; Rome--Politique et gouvernement--265-30 av. J.-C.--Sources.; Discours latins--Histoire et critique.",http://vocab.getty.edu/tgn/7030347;,,0,,,,,2025-09-24,2025-09-24
